world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,0,comppi_iid_ess05,False,False,18.96,6.598,1.0,1.1,,,0.0042,0.083,RESULT: FAILURE (status=6)
open,0,comppi_iid_ess10,False,False,9.96,7.229,0.37,1.1,,,0.0039,0.049,RESULT: FAILURE (status=6)
open,0,comppi_iid_ess20,False,False,9.96,7.235,0.37,1.1,,,0.0033,0.046,RESULT: FAILURE (status=6)
open,0,comppi_iid_cnorm,True,False,29.96,0.231,7.38,1.1,,,0.0192,0.368,RESULT: SUCCESS (status=4)
open,1,comppi_iid_ess05,False,False,9.96,7.154,0.45,1.1,,,0.006,0.065,RESULT: FAILURE (status=6)
open,1,comppi_iid_ess10,False,False,9.96,7.221,0.38,1.1,,,0.0045,0.05,RESULT: FAILURE (status=6)
open,1,comppi_iid_ess20,False,False,9.96,7.24,0.36,1.1,,,0.0033,0.045,RESULT: FAILURE (status=6)
open,1,comppi_iid_cnorm,True,False,26.76,0.237,7.38,1.1,,,0.0156,0.375,RESULT: SUCCESS (status=4)
open,2,comppi_iid_ess05,False,False,9.96,7.152,0.45,1.1,,,0.0052,0.063,RESULT: FAILURE (status=6)
open,2,comppi_iid_ess10,False,False,9.96,7.218,0.38,1.1,,,0.0042,0.053,RESULT: FAILURE (status=6)
open,2,comppi_iid_ess20,False,False,9.96,7.246,0.35,1.1,,,0.0032,0.043,RESULT: FAILURE (status=6)
open,2,comppi_iid_cnorm,True,False,28.96,0.237,7.37,1.1,,,0.0182,0.392,RESULT: SUCCESS (status=4)
open,3,comppi_iid_ess05,False,False,9.96,7.132,0.47,1.1,,,0.0056,0.073,RESULT: FAILURE (status=6)
open,3,comppi_iid_ess10,False,False,9.96,7.182,0.42,1.1,,,0.004,0.051,RESULT: FAILURE (status=6)
open,3,comppi_iid_ess20,False,False,9.96,7.244,0.36,1.1,,,0.0033,0.043,RESULT: FAILURE (status=6)
open,3,comppi_iid_cnorm,True,False,26.86,0.233,7.38,1.1,,,0.017,0.37,RESULT: SUCCESS (status=4)
