world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
blocked_off0,0,comppi,True,False,21.28,0.24,7.61,0.292,0.0109,0.4,RESULT: SUCCESS (status=4)
blocked_off0,0,comppi_nodetour,False,False,27.06,3.976,3.62,0.3,0.0063,0.395,RESULT: FAILURE (status=6)
blocked_off0,0,comppi_noanneal,True,False,34.06,0.245,7.78,0.25,0.0081,0.396,RESULT: SUCCESS (status=4)
blocked_off0,1,comppi,True,False,22.06,0.246,7.57,0.25,0.0076,0.4,RESULT: SUCCESS (status=4)
blocked_off0,1,comppi_nodetour,False,False,20.56,3.807,3.8,0.35,0.0067,0.395,RESULT: FAILURE (status=6)
blocked_off0,1,comppi_noanneal,False,False,20.76,3.806,3.83,0.35,0.0066,0.396,RESULT: FAILURE (status=6)
blocked_off0,2,comppi,True,False,21.26,0.25,7.55,0.269,0.0081,0.4,RESULT: SUCCESS (status=4)
blocked_off0,2,comppi_nodetour,False,False,26.76,2.941,4.66,0.3,0.0063,0.395,RESULT: FAILURE (status=6)
blocked_off0,2,comppi_noanneal,False,False,29.16,2.925,4.91,0.3,0.014,0.394,RESULT: FAILURE (status=6)
blocked_off0,3,comppi,True,False,21.26,0.248,7.57,0.255,0.0089,0.4,RESULT: SUCCESS (status=4)
blocked_off0,3,comppi_nodetour,False,False,21.76,3.16,4.44,0.35,0.007,0.395,RESULT: FAILURE (status=6)
blocked_off0,3,comppi_noanneal,False,False,22.16,3.162,4.46,0.35,0.0066,0.396,RESULT: FAILURE (status=6)
blocked_off0,4,comppi,True,False,21.96,0.247,7.55,0.255,0.0078,0.4,RESULT: SUCCESS (status=4)
blocked_off0,4,comppi_nodetour,False,False,18.16,4.709,2.89,0.35,0.007,0.396,RESULT: FAILURE (status=6)
blocked_off0,4,comppi_noanneal,False,False,18.06,4.709,2.91,0.35,0.0068,0.394,RESULT: FAILURE (status=6)
blocked_off0,5,comppi,True,False,21.36,0.243,7.57,0.25,0.0097,0.4,RESULT: SUCCESS (status=4)
blocked_off0,5,comppi_nodetour,False,False,20.66,3.808,3.79,0.35,0.0068,0.395,RESULT: FAILURE (status=6)
blocked_off0,5,comppi_noanneal,False,False,20.86,3.804,3.82,0.35,0.0065,0.395,RESULT: FAILURE (status=6)
blocked_off0,6,comppi,True,False,21.06,0.243,7.56,0.255,0.0098,0.4,RESULT: SUCCESS (status=4)
blocked_off0,6,comppi_nodetour,False,False,21.76,3.164,4.44,0.35,0.0068,0.394,RESULT: FAILURE (status=6)
blocked_off0,6,comppi_noanneal,False,False,21.86,3.162,4.44,0.35,0.0068,0.396,RESULT: FAILURE (status=6)
blocked_off0,7,comppi,True,False,20.96,0.248,7.56,0.255,0.0101,0.4,RESULT: SUCCESS (status=4)
blocked_off0,7,comppi_nodetour,False,False,21.76,3.02,4.58,0.35,0.0068,0.394,RESULT: FAILURE (status=6)
blocked_off0,7,comppi_noanneal,True,False,34.36,0.247,7.77,0.25,0.0086,0.397,RESULT: SUCCESS (status=4)
blocked_off0,8,comppi,True,False,21.26,0.247,7.57,0.25,0.0097,0.4,RESULT: SUCCESS (status=4)
blocked_off0,8,comppi_nodetour,False,False,17.16,5.403,2.2,0.35,0.0072,0.395,RESULT: FAILURE (status=6)
blocked_off0,8,comppi_noanneal,False,False,17.98,5.398,2.25,0.3,0.0068,0.394,RESULT: FAILURE (status=6)
blocked_off0,9,comppi,True,False,21.76,0.247,7.57,0.269,0.0083,0.4,RESULT: SUCCESS (status=4)
blocked_off0,9,comppi_nodetour,False,False,17.76,4.566,3.04,0.35,0.0071,0.394,RESULT: FAILURE (status=6)
blocked_off0,9,comppi_noanneal,True,False,37.46,0.249,7.78,0.25,0.0089,0.396,RESULT: SUCCESS (status=4)
blocked_off0,10,comppi,True,False,21.16,0.243,7.58,0.255,0.0101,0.4,RESULT: SUCCESS (status=4)
blocked_off0,10,comppi_nodetour,False,False,21.26,5.486,2.12,0.3,0.0068,0.394,RESULT: FAILURE (status=6)
blocked_off0,10,comppi_noanneal,True,False,34.86,0.245,7.75,0.25,0.0092,0.396,RESULT: SUCCESS (status=4)
blocked_off0,11,comppi,True,False,21.06,0.242,7.58,0.255,0.0101,0.4,RESULT: SUCCESS (status=4)
blocked_off0,11,comppi_nodetour,False,False,15.46,5.662,1.94,0.35,0.0072,0.393,RESULT: FAILURE (status=6)
blocked_off0,11,comppi_noanneal,False,False,15.36,5.663,1.95,0.35,0.0073,0.392,RESULT: FAILURE (status=6)
