world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,0,comppi_iid_r2,False,False,9.96,7.224,0.38,1.1,,,0.0037,0.05,RESULT: FAILURE (status=6)
open,1,comppi_iid_r2,False,False,9.96,7.214,0.39,1.1,,,0.0036,0.051,RESULT: FAILURE (status=6)
open,2,comppi_iid_r2,False,False,9.96,7.232,0.37,1.1,,,0.0035,0.05,RESULT: FAILURE (status=6)
open,3,comppi_iid_r2,False,False,9.96,7.233,0.37,1.1,,,0.0035,0.048,RESULT: FAILURE (status=6)
open,4,comppi_iid_r2,False,False,9.96,7.239,0.36,1.1,,,0.0032,0.042,RESULT: FAILURE (status=6)
open,5,comppi_iid_r2,False,False,9.96,7.243,0.36,1.1,,,0.004,0.049,RESULT: FAILURE (status=6)
open,6,comppi_iid_r2,False,False,9.96,7.238,0.36,1.1,,,0.0032,0.044,RESULT: FAILURE (status=6)
open,7,comppi_iid_r2,False,False,9.96,7.228,0.37,1.1,,,0.0033,0.046,RESULT: FAILURE (status=6)
open,8,comppi_iid_r2,False,False,9.96,7.23,0.37,1.1,,,0.0037,0.043,RESULT: FAILURE (status=6)
open,9,comppi_iid_r2,False,False,9.96,7.222,0.38,1.1,,,0.0036,0.048,RESULT: FAILURE (status=6)
open,10,comppi_iid_r2,False,False,9.96,7.247,0.35,1.1,,,0.0035,0.043,RESULT: FAILURE (status=6)
open,11,comppi_iid_r2,False,False,9.96,7.238,0.36,1.1,,,0.0039,0.049,RESULT: FAILURE (status=6)
open,12,comppi_iid_r2,False,False,9.96,7.234,0.37,1.1,,,0.0034,0.043,RESULT: FAILURE (status=6)
open,13,comppi_iid_r2,False,False,9.96,7.226,0.37,1.1,,,0.0035,0.047,RESULT: FAILURE (status=6)
open,14,comppi_iid_r2,False,False,9.96,7.217,0.38,1.1,,,0.0034,0.05,RESULT: FAILURE (status=6)
gap,0,comppi_iid_r2,False,False,9.96,7.263,0.35,1.1,,,0.0035,0.044,RESULT: FAILURE (status=6)
gap,1,comppi_iid_r2,False,False,9.96,7.238,0.38,1.1,,,0.0037,0.051,RESULT: FAILURE (status=6)
gap,2,comppi_iid_r2,False,False,9.96,7.246,0.38,1.1,,,0.0035,0.048,RESULT: FAILURE (status=6)
gap,3,comppi_iid_r2,False,False,9.96,7.262,0.37,1.1,,,0.0033,0.049,RESULT: FAILURE (status=6)
gap,4,comppi_iid_r2,False,False,9.96,7.241,0.36,1.1,,,0.0031,0.044,RESULT: FAILURE (status=6)
gap,5,comppi_iid_r2,False,False,9.96,7.294,0.36,1.1,,,0.0034,0.049,RESULT: FAILURE (status=6)
gap,6,comppi_iid_r2,False,False,9.96,7.257,0.36,1.1,,,0.0036,0.046,RESULT: FAILURE (status=6)
gap,7,comppi_iid_r2,False,False,9.96,7.233,0.37,1.1,,,0.0039,0.045,RESULT: FAILURE (status=6)
gap,8,comppi_iid_r2,False,False,9.98,7.278,0.37,1.1,,,0.0041,0.048,RESULT: FAILURE (status=6)
gap,9,comppi_iid_r2,False,False,9.96,7.251,0.37,1.1,,,0.0042,0.048,RESULT: FAILURE (status=6)
gap,10,comppi_iid_r2,False,False,9.96,7.235,0.37,1.1,,,0.0031,0.044,RESULT: FAILURE (status=6)
gap,11,comppi_iid_r2,False,False,9.96,7.294,0.36,1.1,,,0.0034,0.049,RESULT: FAILURE (status=6)
gap,12,comppi_iid_r2,False,False,9.96,7.239,0.36,1.1,,,0.0028,0.043,RESULT: FAILURE (status=6)
gap,13,comppi_iid_r2,False,False,9.96,7.273,0.39,1.1,,,0.0039,0.049,RESULT: FAILURE (status=6)
gap,14,comppi_iid_r2,False,False,9.96,7.246,0.35,1.1,,,0.0034,0.045,RESULT: FAILURE (status=6)
blocked,0,comppi_iid_r2,False,False,9.96,7.239,0.36,1.1,,,0.0035,0.043,RESULT: FAILURE (status=6)
blocked,1,comppi_iid_r2,False,False,9.96,7.23,0.37,1.1,,,0.0038,0.046,RESULT: FAILURE (status=6)
blocked,2,comppi_iid_r2,False,False,9.98,7.244,0.36,1.1,,,0.0032,0.043,RESULT: FAILURE (status=6)
blocked,3,comppi_iid_r2,False,False,9.96,7.247,0.35,1.1,,,0.0042,0.048,RESULT: FAILURE (status=6)
blocked,4,comppi_iid_r2,False,False,9.96,7.225,0.38,1.1,,,0.0034,0.048,RESULT: FAILURE (status=6)
blocked,5,comppi_iid_r2,False,False,9.96,7.237,0.36,1.1,,,0.0035,0.045,RESULT: FAILURE (status=6)
blocked,6,comppi_iid_r2,False,False,9.96,7.241,0.36,1.1,,,0.0034,0.046,RESULT: FAILURE (status=6)
blocked,7,comppi_iid_r2,False,False,19.56,6.154,1.47,0.25,,,0.0057,0.293,RESULT: FAILURE (status=6)
blocked,8,comppi_iid_r2,False,False,9.96,7.216,0.38,1.1,,,0.0039,0.052,RESULT: FAILURE (status=6)
blocked,9,comppi_iid_r2,False,False,9.96,7.208,0.39,1.1,,,0.0034,0.05,RESULT: FAILURE (status=6)
blocked,10,comppi_iid_r2,False,False,19.66,6.156,1.5,0.25,,,0.0061,0.272,RESULT: FAILURE (status=6)
blocked,11,comppi_iid_r2,False,False,9.96,7.219,0.38,1.1,,,0.0039,0.046,RESULT: FAILURE (status=6)
blocked,12,comppi_iid_r2,False,False,9.96,7.231,0.37,1.1,,,0.0034,0.045,RESULT: FAILURE (status=6)
blocked,13,comppi_iid_r2,False,False,9.96,7.239,0.36,1.1,,,0.0033,0.043,RESULT: FAILURE (status=6)
blocked,14,comppi_iid_r2,False,False,9.96,7.237,0.36,1.1,,,0.0029,0.048,RESULT: FAILURE (status=6)
