world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
open,0,comppi_b2,True,False,24.76,0.242,7.36,1.1,0.015,0.382,RESULT: SUCCESS (status=4)
open,0,comppi_b4,True,False,21.16,0.248,7.36,1.1,0.0115,0.395,RESULT: SUCCESS (status=4)
open,0,comppi_b16,False,False,29.66,0.287,7.31,1.1,0.0076,0.398,RESULT: FAILURE (status=6)
open,0,comppi_b32,True,False,21.86,0.249,7.35,1.1,0.0079,0.399,RESULT: SUCCESS (status=4)
open,1,comppi_b2,True,False,24.28,0.249,7.36,1.1,0.0152,0.39,RESULT: SUCCESS (status=4)
open,1,comppi_b4,True,False,20.96,0.246,7.36,1.1,0.0128,0.393,RESULT: SUCCESS (status=4)
open,1,comppi_b16,False,False,29.66,0.274,7.33,1.1,0.0074,0.398,RESULT: FAILURE (status=6)
open,1,comppi_b32,True,False,21.86,0.249,7.35,1.1,0.0078,0.399,RESULT: SUCCESS (status=4)
open,2,comppi_b2,True,False,24.96,0.238,7.37,1.1,0.0147,0.384,RESULT: SUCCESS (status=4)
open,2,comppi_b4,True,False,20.96,0.237,7.37,1.1,0.0132,0.392,RESULT: SUCCESS (status=4)
open,2,comppi_b16,False,False,29.56,0.275,7.33,1.1,0.0079,0.398,RESULT: FAILURE (status=6)
open,2,comppi_b32,True,False,21.96,0.245,7.36,1.1,0.0076,0.399,RESULT: SUCCESS (status=4)
open,3,comppi_b2,True,False,23.96,0.241,7.36,1.1,0.0142,0.384,RESULT: SUCCESS (status=4)
open,3,comppi_b4,True,False,21.16,0.247,7.36,1.1,0.0102,0.394,RESULT: SUCCESS (status=4)
open,3,comppi_b16,False,False,29.66,0.268,7.33,1.1,0.0078,0.397,RESULT: FAILURE (status=6)
open,3,comppi_b32,True,False,21.96,0.243,7.36,1.1,0.0078,0.399,RESULT: SUCCESS (status=4)
open,4,comppi_b2,True,False,24.76,0.239,7.37,1.1,0.0126,0.383,RESULT: SUCCESS (status=4)
open,4,comppi_b4,True,False,21.06,0.25,7.35,1.1,0.0123,0.393,RESULT: SUCCESS (status=4)
open,4,comppi_b16,False,False,29.56,0.271,7.33,1.1,0.0078,0.398,RESULT: FAILURE (status=6)
open,4,comppi_b32,True,False,21.86,0.247,7.35,1.1,0.0076,0.399,RESULT: SUCCESS (status=4)
open,5,comppi_b2,True,False,23.56,0.235,7.37,1.1,0.0145,0.385,RESULT: SUCCESS (status=4)
open,5,comppi_b4,True,False,20.96,0.242,7.36,1.1,0.013,0.392,RESULT: SUCCESS (status=4)
open,5,comppi_b16,False,False,29.56,0.281,7.32,1.1,0.0078,0.398,RESULT: FAILURE (status=6)
open,5,comppi_b32,True,False,21.86,0.25,7.35,1.1,0.008,0.399,RESULT: SUCCESS (status=4)
open,6,comppi_b2,True,False,23.46,0.238,7.37,1.1,0.0123,0.388,RESULT: SUCCESS (status=4)
open,6,comppi_b4,True,False,21.16,0.237,7.37,1.1,0.012,0.394,RESULT: SUCCESS (status=4)
open,6,comppi_b16,False,False,29.56,0.273,7.33,1.1,0.0076,0.399,RESULT: FAILURE (status=6)
open,6,comppi_b32,True,False,21.96,0.243,7.36,1.1,0.0078,0.399,RESULT: SUCCESS (status=4)
open,7,comppi_b2,True,False,23.86,0.24,7.36,1.1,0.0149,0.392,RESULT: SUCCESS (status=4)
open,7,comppi_b4,True,False,20.98,0.236,7.37,1.1,0.012,0.393,RESULT: SUCCESS (status=4)
open,7,comppi_b16,False,False,29.56,0.252,7.35,1.1,0.0076,0.398,RESULT: FAILURE (status=6)
open,7,comppi_b32,True,False,21.86,0.25,7.35,1.1,0.0078,0.399,RESULT: SUCCESS (status=4)
