world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,0,comppi_iid_nolimit,True,False,27.16,0.25,7.35,1.1,,,0.0175,0.316,RESULT: SUCCESS (status=4)
open,0,comppi_iid_amax1,True,False,23.66,0.244,7.36,1.1,,,0.01,0.351,RESULT: SUCCESS (status=4)
open,0,comppi_iid_symacc,True,False,21.86,0.241,7.36,1.1,,,0.0121,0.383,RESULT: SUCCESS (status=4)
open,0,comppi_iid_l010,True,False,23.56,0.238,7.39,1.1,,,0.0257,0.4,RESULT: SUCCESS (status=4)
open,0,comppi_iid_l003,True,False,25.16,0.236,7.39,1.1,,,0.031,0.4,RESULT: SUCCESS (status=4)
open,1,comppi_iid_nolimit,True,False,27.26,0.243,7.36,1.1,,,0.0168,0.316,RESULT: SUCCESS (status=4)
open,1,comppi_iid_amax1,True,False,23.56,0.249,7.35,1.1,,,0.0104,0.352,RESULT: SUCCESS (status=4)
open,1,comppi_iid_symacc,True,False,22.06,0.246,7.36,1.1,,,0.012,0.383,RESULT: SUCCESS (status=4)
open,1,comppi_iid_l010,True,False,24.26,0.228,7.4,1.1,,,0.0287,0.4,RESULT: SUCCESS (status=4)
open,1,comppi_iid_l003,True,False,24.36,0.23,7.4,1.1,,,0.0329,0.4,RESULT: SUCCESS (status=4)
open,2,comppi_iid_nolimit,True,False,27.16,0.249,7.35,1.1,,,0.0157,0.321,RESULT: SUCCESS (status=4)
open,2,comppi_iid_amax1,True,False,23.56,0.243,7.36,1.1,,,0.0097,0.359,RESULT: SUCCESS (status=4)
open,2,comppi_iid_symacc,True,False,21.86,0.233,7.37,1.1,,,0.0127,0.384,RESULT: SUCCESS (status=4)
open,2,comppi_iid_l010,True,False,25.76,0.247,7.38,1.1,,,0.0251,0.399,RESULT: SUCCESS (status=4)
open,2,comppi_iid_l003,True,False,27.06,0.239,7.4,1.1,,,0.03,0.4,RESULT: SUCCESS (status=4)
open,3,comppi_iid_nolimit,True,False,27.26,0.245,7.36,1.1,,,0.0161,0.316,RESULT: SUCCESS (status=4)
open,3,comppi_iid_amax1,True,False,23.56,0.244,7.36,1.1,,,0.0102,0.35,RESULT: SUCCESS (status=4)
open,3,comppi_iid_symacc,True,False,21.86,0.243,7.36,1.1,,,0.0124,0.383,RESULT: SUCCESS (status=4)
open,3,comppi_iid_l010,True,False,23.46,0.232,7.39,1.1,,,0.0272,0.4,RESULT: SUCCESS (status=4)
