t,x,y,yaw,v,w
0.023,1.2000,5.0000,0.0000,0.0000,0.0000
0.042,1.2000,5.0000,0.0000,0.0000,0.0000
0.062,1.2000,5.0000,0.0000,0.0000,0.0000
0.082,1.2000,5.0000,0.0000,0.0000,0.0000
0.102,1.2000,5.0000,0.0000,0.0000,0.0000
0.122,1.2000,5.0000,0.0000,0.0000,0.0000
0.142,1.2000,5.0000,0.0000,0.0000,0.0000
0.162,1.2000,5.0000,0.0000,0.0000,0.0000
0.182,1.2000,5.0000,0.0000,0.0000,0.0000
0.202,1.2000,5.0000,0.0000,0.0000,0.0000
0.222,1.2000,5.0000,0.0000,0.0000,0.0000
0.242,1.2000,5.0000,0.0000,0.0000,0.0000
0.262,1.2000,5.0000,0.0000,0.0000,0.0000
0.282,1.2000,5.0000,0.0000,0.0000,0.0000
0.302,1.2000,5.0000,0.0000,0.0000,0.0000
0.322,1.2000,5.0000,0.0000,0.0000,0.0000
0.342,1.2000,5.0000,0.0000,0.0000,0.0000
0.362,1.2000,5.0000,0.0000,0.0000,0.0000
0.382,1.2000,5.0000,0.0000,0.0000,0.0000
0.402,1.2000,5.0000,0.0000,0.0000,0.0000
0.422,1.2000,5.0000,0.0000,0.0000,0.0000
0.442,1.2000,5.0000,0.0000,0.0000,0.0000
0.462,1.2000,5.0000,0.0000,0.0000,0.0000
0.482,1.2000,5.0000,0.0000,0.0000,0.0000
0.502,1.2000,5.0000,0.0000,0.0000,0.0000
0.522,1.2000,5.0000,0.0000,0.0000,0.0000
0.543,1.2000,5.0000,0.0000,0.0000,0.0000
0.563,1.2000,5.0000,0.0000,0.0000,0.0000
0.583,1.2000,5.0000,0.0000,0.0000,0.0000
0.602,1.2000,5.0000,0.0000,0.0000,0.0000
0.622,1.2000,5.0000,0.0000,0.0000,0.0000
0.642,1.2000,5.0000,0.0000,0.0000,0.0000
0.662,1.2000,5.0000,0.0000,0.0000,0.0000
0.682,1.2000,5.0000,0.0000,0.0000,0.0000
0.702,1.2000,5.0000,0.0000,0.0000,0.0000
0.722,1.2000,5.0000,0.0000,0.0000,0.0000
0.742,1.2000,5.0000,0.0000,0.0000,0.0000
0.763,1.2000,5.0000,0.0000,0.0000,0.0000
0.782,1.2000,5.0000,0.0000,0.0000,0.0000
0.802,1.2000,5.0000,0.0000,0.0000,0.0000
0.823,1.2000,5.0000,0.0000,0.0000,0.0000
0.842,1.2000,5.0000,0.0000,0.0000,0.0000
0.863,1.2000,5.0000,0.0000,0.0000,0.0000
0.883,1.2000,5.0000,0.0000,0.0000,0.0000
0.902,1.2000,5.0000,0.0000,0.0000,0.0000
0.922,1.2000,5.0000,0.0000,0.0000,0.0000
0.942,1.2000,5.0000,0.0000,0.0000,0.0000
0.962,1.2000,5.0000,0.0000,0.0000,0.0000
0.983,1.2000,5.0000,0.0000,0.0000,0.0000
1.002,1.2000,5.0000,0.0000,0.0000,0.0000
1.022,1.2000,5.0000,0.0000,0.0000,0.0000
1.042,1.2000,5.0000,0.0000,0.0000,0.0000
1.062,1.2000,5.0000,0.0000,0.0000,0.0000
1.082,1.2000,5.0000,0.0000,0.0000,0.0000
1.102,1.2000,5.0000,0.0000,0.0000,0.0000
1.122,1.2000,5.0000,0.0000,0.0000,0.0000
1.142,1.2000,5.0000,0.0000,0.0000,0.0000
1.162,1.2000,5.0000,0.0000,0.0000,0.0000
1.182,1.2000,5.0000,0.0000,0.0000,0.0000
1.202,1.2000,5.0000,0.0000,0.0000,0.0000
1.222,1.2000,5.0000,0.0000,0.0000,0.0000
1.242,1.2000,5.0000,0.0000,0.0000,0.0000
1.263,1.2000,5.0000,0.0000,0.0000,0.0000
1.282,1.2000,5.0000,0.0000,0.0000,0.0000
1.303,1.2000,5.0000,0.0000,0.0000,0.0000
1.322,1.2000,5.0000,0.0000,0.0000,0.0000
1.342,1.2000,5.0000,0.0000,0.0000,0.0000
1.362,1.2000,5.0000,0.0000,0.0000,0.0000
1.382,1.2000,5.0000,0.0000,0.0000,0.0000
1.402,1.2000,5.0000,0.0000,0.0000,0.0000
1.422,1.2000,5.0000,0.0000,0.0000,0.0000
1.442,1.2000,5.0000,0.0000,0.0000,0.0000
1.462,1.2000,5.0000,0.0000,0.0000,0.0000
1.482,1.2000,5.0000,0.0000,0.0000,0.0000
1.502,1.2000,5.0000,0.0000,0.0000,0.0000
1.522,1.2000,5.0000,0.0000,0.0000,0.0000
1.543,1.2000,5.0000,0.0000,0.0000,0.0000
1.562,1.2000,5.0000,0.0000,0.0000,0.0000
1.582,1.2000,5.0000,0.0000,0.0000,0.0000
1.602,1.2000,5.0000,0.0000,0.0000,0.0000
1.622,1.2000,5.0000,0.0000,0.0000,0.0000
1.642,1.2000,5.0000,0.0000,0.0000,0.0000
1.663,1.2000,5.0000,0.0000,0.0000,0.0000
1.683,1.2000,5.0000,0.0000,0.0000,0.0000
1.703,1.2000,5.0000,0.0000,0.0000,0.0000
1.722,1.2000,5.0000,0.0000,0.0000,0.0000
1.742,1.2000,5.0000,0.0000,0.0000,0.0000
1.762,1.2000,5.0000,0.0000,0.0000,0.0000
1.782,1.2000,5.0000,0.0000,0.0000,0.0000
1.802,1.2000,5.0000,0.0000,0.0000,0.0000
1.822,1.2000,5.0000,0.0000,0.0000,0.0000
1.842,1.2000,5.0000,0.0000,0.0000,0.0000
1.862,1.2000,5.0000,0.0000,0.0000,0.0000
1.882,1.2000,5.0000,0.0000,0.0000,0.0000
1.902,1.2000,5.0000,0.0000,0.0000,0.0000
1.922,1.2000,5.0000,0.0000,0.0000,0.0000
1.942,1.2000,5.0000,0.0000,0.0000,0.0000
1.963,1.2000,5.0000,0.0000,0.0000,0.0000
1.983,1.2000,5.0000,0.0000,0.0000,0.0000
2.002,1.2000,5.0000,0.0000,0.0000,0.0000
2.022,1.2000,5.0000,0.0000,0.0000,0.0000
2.042,1.2000,5.0000,0.0000,0.0000,0.0000
2.062,1.2000,5.0000,0.0000,0.0000,0.0000
2.082,1.2000,5.0000,0.0000,0.0000,0.0000
2.102,1.2000,5.0000,0.0000,0.0000,0.0000
2.122,1.2000,5.0000,0.0000,0.0000,0.0000
2.142,1.2000,5.0000,0.0000,0.0000,0.0000
2.162,1.2000,5.0000,0.0000,0.0000,0.0000
2.182,1.2000,5.0000,0.0000,0.0000,0.0000
2.203,1.2000,5.0000,0.0000,0.0000,0.0000
2.223,1.2000,5.0000,0.0000,0.0000,0.0000
2.243,1.2000,5.0000,0.0000,0.0000,0.0000
2.263,1.2000,5.0000,0.0000,0.0000,0.0000
2.282,1.2000,5.0000,0.0000,0.0000,0.0000
2.302,1.2000,5.0000,0.0000,0.0000,0.0000
2.322,1.2000,5.0000,0.0000,0.0000,0.0000
2.342,1.2000,5.0000,0.0000,0.0000,0.0000
2.362,1.2000,5.0000,0.0000,0.0000,0.0000
2.382,1.2000,5.0000,0.0000,0.0000,0.0000
2.402,1.2000,5.0000,0.0000,0.0000,0.0000
2.422,1.2000,5.0000,0.0000,0.0000,0.0000
2.443,1.2000,5.0000,0.0000,0.0000,0.0000
2.462,1.2000,5.0000,0.0000,0.0000,0.0000
2.482,1.2000,5.0000,0.0000,0.0000,0.0000
2.502,1.2000,5.0000,0.0000,0.0000,0.0000
2.522,1.2000,5.0000,0.0000,0.0000,0.0000
2.542,1.2000,5.0000,0.0000,0.0000,0.0000
2.563,1.2000,5.0000,0.0000,0.0000,0.0000
2.582,1.2000,5.0000,0.0000,0.0000,0.0000
2.602,1.2000,5.0000,0.0000,0.0000,0.0000
2.622,1.2000,5.0000,0.0000,0.0000,0.0000
2.642,1.2000,5.0000,0.0000,0.0000,0.0000
2.662,1.2000,5.0000,0.0000,0.0000,0.0000
2.682,1.2000,5.0000,0.0000,0.0000,0.0000
2.702,1.2000,5.0000,0.0000,0.0000,0.0000
2.722,1.2000,5.0000,0.0000,0.0000,0.0000
2.742,1.2000,5.0000,0.0000,0.0000,0.0000
2.762,1.2000,5.0000,0.0000,0.0000,0.0000
2.783,1.2000,5.0000,0.0000,0.0000,0.0000
2.802,1.2000,5.0000,0.0000,0.0000,0.0000
2.822,1.2000,5.0000,0.0000,0.0000,0.0000
2.843,1.2000,5.0000,0.0000,0.0000,0.0000
2.862,1.2000,5.0000,0.0000,0.0000,0.0000
2.882,1.2000,5.0000,0.0000,0.0000,0.0000
2.902,1.2000,5.0000,0.0000,0.0000,0.0000
2.922,1.2000,5.0000,0.0000,0.0000,0.0000
2.942,1.2000,5.0000,0.0000,0.0000,0.0000
2.962,1.2000,5.0000,0.0000,0.0000,0.0000
2.982,1.2000,5.0000,0.0000,0.0000,0.0000
3.002,1.2000,5.0000,0.0000,0.0000,0.0000
3.022,1.2000,5.0000,0.0000,0.0000,0.0000
3.042,1.2000,5.0000,0.0000,0.0000,0.0000
3.062,1.2000,5.0000,0.0000,0.0000,0.0000
3.082,1.2000,5.0000,0.0000,0.0000,0.0000
3.102,1.2000,5.0000,0.0000,0.0000,0.0000
3.122,1.2000,5.0000,0.0000,0.0000,0.0000
3.142,1.2000,5.0000,0.0000,0.0000,0.0000
3.162,1.2000,5.0000,0.0000,0.0000,0.0000
3.182,1.2000,5.0000,0.0000,0.0000,0.0000
3.202,1.2000,5.0000,0.0000,0.0000,0.0000
3.222,1.2000,5.0000,0.0000,0.0000,0.0000
