t_s,cycles_in_window,cpu_ms_all_threads,cpu_ms_busiest_thread
1.0,11,160.0,60.0
2.0,10,170.0,70.0
3.1,10,160.0,60.0
4.1,11,170.0,70.0
5.1,10,200.0,70.0
6.2,10,150.0,60.0
7.2,10,160.0,60.0
8.2,10,170.0,60.0
9.2,11,180.0,80.0
10.2,10,170.0,60.0
11.3,10,150.0,70.0
12.3,10,180.0,60.0
13.3,10,150.0,60.0
14.3,10,170.0,60.0
15.3,10,150.0,60.0
16.3,10,150.0,70.0
17.3,10,180.0,70.0
18.4,11,150.0,60.0
19.4,11,160.0,60.0
20.4,10,140.0,60.0
21.4,7,-2380.0,20.0
22.5,0,30.0,20.0
23.5,0,50.0,20.0
24.5,0,50.0,10.0
25.5,0,40.0,20.0
26.5,0,40.0,20.0
27.5,0,40.0,20.0
28.5,0,40.0,20.0
29.5,0,40.0,20.0
30.6,0,40.0,20.0
31.6,0,40.0,20.0
32.6,0,40.0,20.0
33.6,0,40.0,20.0
34.6,0,70.0,30.0
35.6,0,20.0,10.0
36.6,0,40.0,20.0
37.6,0,50.0,20.0
38.6,0,30.0,30.0
39.7,0,40.0,20.0
40.7,0,50.0,30.0
41.7,0,40.0,20.0
42.7,0,40.0,10.0
43.7,0,60.0,20.0
44.7,0,20.0,20.0
