t,x,y,yaw,v,w,t_abs
0.031,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.214
0.050,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.233
0.070,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.253
0.090,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.273
0.110,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.293
0.130,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.313
0.150,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.333
0.170,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.353
0.190,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.373
0.210,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.393
0.230,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.413
0.250,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.433
0.270,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.453
0.290,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.473
0.310,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.493
0.330,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.513
0.350,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.533
0.370,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.553
0.390,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.573
0.410,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.593
0.430,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.613
0.450,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.633
0.470,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.653
0.490,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.673
0.510,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.693
0.530,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.713
0.550,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.733
0.570,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.753
0.590,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.773
0.610,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.793
0.630,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.813
0.650,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.833
0.670,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.853
0.690,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.873
0.710,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.893
0.730,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.913
0.750,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.933
0.770,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.953
0.790,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.973
0.811,1.2000,5.0000,0.0000,0.0000,0.0000,1788374661.994
0.830,1.2000,5.0000,0.0000,0.0000,0.0000,1788374662.014
0.851,1.2000,5.0000,0.0000,0.0000,0.0000,1788374662.034
0.870,1.2000,5.0000,0.0000,0.0000,0.0000,1788374662.053
0.890,1.2000,5.0000,0.0000,0.0000,0.0000,1788374662.073
