t_s,cycles_in_window,cpu_ms_all_threads,cpu_ms_busiest_thread
1.0,11,230.0,160.0
2.0,10,190.0,150.0
3.0,10,200.0,140.0
4.0,10,200.0,150.0
5.1,10,210.0,150.0
6.1,10,200.0,150.0
7.1,11,220.0,160.0
8.1,10,190.0,150.0
9.1,10,200.0,150.0
10.1,10,210.0,160.0
11.1,10,200.0,160.0
12.1,10,220.0,160.0
13.2,10,210.0,160.0
14.2,10,220.0,150.0
15.2,11,210.0,160.0
16.3,10,210.0,170.0
17.3,10,290.0,220.0
18.4,11,260.0,220.0
19.4,11,-2880.0,20.0
20.4,0,60.0,30.0
21.4,0,40.0,20.0
22.4,0,50.0,20.0
23.4,0,40.0,30.0
24.4,0,40.0,20.0
25.4,0,50.0,20.0
26.4,0,30.0,20.0
27.4,0,30.0,10.0
28.5,0,60.0,20.0
29.5,0,30.0,20.0
30.5,0,40.0,20.0
31.5,0,40.0,20.0
32.5,0,40.0,20.0
33.5,0,50.0,20.0
34.5,0,50.0,20.0
35.5,0,40.0,30.0
36.6,0,40.0,20.0
37.6,0,30.0,10.0
38.6,0,40.0,20.0
39.6,0,40.0,20.0
40.6,0,40.0,20.0
41.6,0,60.0,20.0
42.6,0,30.0,20.0
43.6,0,50.0,20.0
44.6,0,40.0,20.0
