t,x,y,yaw,v,w,t_abs
0.031,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.197
0.051,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.217
0.071,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.237
0.091,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.257
0.111,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.277
0.131,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.297
0.151,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.317
0.171,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.337
0.191,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.357
0.211,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.377
0.231,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.397
0.251,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.417
0.271,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.437
0.291,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.457
0.311,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.477
0.331,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.497
0.351,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.517
0.371,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.537
0.391,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.557
0.411,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.577
0.431,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.597
0.451,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.617
0.471,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.637
0.491,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.657
0.511,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.677
0.531,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.697
0.551,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.717
0.571,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.737
0.591,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.757
0.611,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.777
0.631,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.797
0.651,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.817
0.671,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.837
0.691,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.857
0.711,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.877
0.731,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.897
0.751,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.917
0.771,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.937
0.791,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.957
0.811,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.977
0.831,1.2000,5.0000,0.0000,0.0000,0.0000,1788374603.997
0.851,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.017
0.871,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.037
0.891,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.057
0.911,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.077
0.931,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.097
0.951,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.117
0.971,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.137
0.991,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.157
1.011,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.177
1.031,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.197
1.052,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.218
1.071,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.237
1.091,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.257
1.111,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.277
1.131,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.297
1.151,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.317
1.171,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.337
1.191,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.357
1.211,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.377
1.231,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.397
1.251,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.417
1.271,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.437
1.291,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.457
1.311,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.477
1.331,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.497
1.351,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.517
1.371,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.537
1.391,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.557
1.411,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.577
1.431,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.597
1.451,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.617
1.471,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.637
1.491,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.657
1.511,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.677
1.531,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.697
1.551,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.717
1.571,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.737
1.591,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.757
1.611,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.777
1.631,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.797
1.651,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.817
1.671,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.837
1.691,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.857
1.711,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.877
1.731,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.897
1.751,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.917
1.771,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.937
1.791,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.957
1.811,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.977
1.831,1.2000,5.0000,0.0000,0.0000,0.0000,1788374604.997
1.851,1.2000,5.0000,0.0000,0.0000,0.0000,1788374605.017
1.871,1.2000,5.0000,0.0000,0.0000,0.0000,1788374605.037
