t_s,cycles_in_window,cpu_ms_all_threads,cpu_ms_busiest_thread
1.0,0,300.0,110.0
2.0,0,340.0,130.0
3.1,0,300.0,110.0
4.1,0,290.0,120.0
5.1,0,290.0,120.0
6.2,0,360.0,130.0
7.2,0,300.0,130.0
8.2,0,320.0,120.0
9.2,0,310.0,120.0
10.3,0,330.0,120.0
11.3,0,330.0,120.0
12.3,0,310.0,130.0
13.3,0,320.0,130.0
14.4,0,310.0,130.0
15.4,0,320.0,120.0
16.4,0,360.0,140.0
17.4,0,310.0,130.0
18.5,0,330.0,130.0
19.5,0,290.0,110.0
20.5,0,280.0,120.0
21.5,0,-4320.0,40.0
22.6,0,90.0,50.0
23.6,0,80.0,40.0
24.6,0,80.0,40.0
25.6,0,90.0,50.0
26.6,0,100.0,40.0
27.7,0,80.0,40.0
28.7,0,90.0,40.0
29.7,0,100.0,50.0
30.7,0,90.0,40.0
31.7,0,80.0,40.0
32.8,0,100.0,40.0
33.8,0,90.0,50.0
34.8,0,80.0,50.0
35.8,0,90.0,40.0
36.9,0,100.0,50.0
37.9,0,90.0,40.0
38.9,0,70.0,40.0
39.9,0,120.0,50.0
41.0,0,80.0,40.0
42.0,0,80.0,50.0
43.0,0,100.0,40.0
44.0,0,80.0,40.0
45.0,0,100.0,60.0
