t,x,y,yaw,v,w,t_abs
0.032,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.557
0.052,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.577
0.072,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.597
0.092,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.617
0.112,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.637
0.132,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.658
0.152,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.677
0.172,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.697
0.192,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.717
0.212,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.738
0.233,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.758
0.252,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.777
0.272,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.798
0.292,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.817
0.313,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.839
0.332,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.858
0.352,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.877
0.372,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.897
0.393,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.918
0.413,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.938
0.432,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.957
0.452,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.977
0.472,1.2000,5.0000,0.0000,0.0000,0.0000,1788374203.997
0.492,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.017
0.513,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.039
0.532,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.057
0.552,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.077
0.572,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.097
0.592,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.117
0.612,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.137
0.633,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.158
0.652,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.177
0.672,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.197
0.692,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.217
0.712,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.237
0.732,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.257
0.753,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.278
0.772,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.297
0.792,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.317
0.813,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.338
0.832,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.357
0.852,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.377
0.873,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.399
0.892,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.417
0.912,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.437
0.932,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.457
0.952,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.477
0.972,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.497
0.992,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.517
1.012,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.537
1.032,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.558
1.053,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.578
1.072,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.597
1.092,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.617
1.113,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.638
1.132,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.657
1.152,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.678
1.172,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.697
1.193,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.718
1.213,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.738
1.232,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.757
1.252,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.778
1.272,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.798
1.293,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.819
1.312,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.837
1.332,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.857
1.352,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.877
1.372,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.897
1.392,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.917
1.412,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.937
1.433,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.958
1.452,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.977
1.473,1.2000,5.0000,0.0000,0.0000,0.0000,1788374204.998
1.492,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.017
1.512,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.037
1.533,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.058
1.552,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.077
1.572,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.098
1.592,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.117
1.612,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.137
1.632,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.157
1.652,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.177
1.672,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.197
1.692,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.217
1.712,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.237
1.732,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.257
1.752,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.277
1.772,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.297
1.792,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.318
1.812,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.337
1.832,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.358
1.852,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.377
1.872,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.397
1.892,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.417
1.912,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.437
1.932,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.457
1.952,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.478
1.973,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.498
1.992,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.517
2.012,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.537
2.033,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.558
2.052,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.578
2.072,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.597
2.092,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.617
2.112,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.637
2.132,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.658
2.152,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.677
2.172,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.697
2.192,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.718
2.212,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.737
2.233,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.758
2.252,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.777
2.272,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.798
2.292,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.818
2.312,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.837
2.332,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.857
2.352,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.877
2.372,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.897
2.392,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.917
2.412,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.937
2.432,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.957
2.452,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.978
2.472,1.2000,5.0000,0.0000,0.0000,0.0000,1788374205.997
2.492,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.017
2.512,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.037
2.532,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.057
2.553,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.078
2.573,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.098
2.593,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.118
2.612,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.137
2.633,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.158
2.652,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.177
2.672,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.198
2.693,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.219
2.712,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.237
2.732,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.258
2.752,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.277
2.773,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.298
2.792,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.318
2.812,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.337
2.833,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.358
2.852,1.2000,5.0000,0.0000,0.0000,0.0000,1788374206.377
