t_s,cycles_in_window,cpu_ms_all_threads,cpu_ms_busiest_thread
1.0,0,300.0,190.0
2.0,0,280.0,200.0
3.1,0,280.0,190.0
4.1,0,300.0,210.0
5.1,0,290.0,190.0
6.1,0,290.0,200.0
7.2,0,310.0,200.0
8.2,0,270.0,200.0
9.2,0,320.0,220.0
10.2,0,300.0,210.0
11.3,0,290.0,200.0
12.3,0,290.0,210.0
13.3,0,340.0,230.0
14.3,0,270.0,200.0
15.4,0,290.0,200.0
16.4,0,330.0,230.0
17.4,0,390.0,290.0
18.4,0,330.0,250.0
19.5,0,-3760.0,30.0
20.5,0,120.0,50.0
21.5,0,80.0,40.0
22.5,0,90.0,50.0
23.6,0,80.0,40.0
24.6,0,90.0,40.0
25.6,0,90.0,30.0
26.6,0,80.0,50.0
27.6,0,90.0,40.0
28.7,0,80.0,40.0
29.7,0,110.0,50.0
30.7,0,70.0,40.0
31.7,0,120.0,50.0
32.8,0,90.0,40.0
33.8,0,80.0,40.0
34.8,0,90.0,50.0
35.8,0,70.0,40.0
36.8,0,90.0,40.0
37.9,0,100.0,40.0
38.9,0,90.0,40.0
39.9,0,100.0,50.0
40.9,0,90.0,40.0
42.0,0,80.0,40.0
43.0,0,100.0,50.0
44.0,0,80.0,40.0
45.0,0,80.0,40.0
