t,x,y,yaw,v,w,t_abs
0.036,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.700
0.056,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.721
0.076,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.740
0.096,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.760
0.116,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.781
0.136,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.801
0.156,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.821
0.176,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.840
0.196,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.861
0.216,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.880
0.236,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.901
0.256,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.921
0.276,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.941
0.296,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.960
0.316,1.2000,5.0000,0.0000,0.0000,0.0000,1788374145.981
0.336,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.000
0.356,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.021
0.376,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.041
0.397,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.061
0.416,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.081
0.436,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.101
0.456,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.120
0.476,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.141
0.496,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.161
0.516,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.181
0.536,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.201
0.557,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.221
0.576,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.240
0.597,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.261
0.616,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.280
0.636,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.300
0.657,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.321
0.676,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.341
0.696,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.361
0.716,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.380
0.736,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.401
0.756,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.421
0.776,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.441
0.796,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.460
0.816,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.481
0.836,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.501
0.856,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.521
0.876,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.541
0.896,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.560
0.916,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.581
0.936,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.600
0.956,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.621
0.976,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.641
0.996,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.661
1.016,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.680
1.036,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.701
1.056,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.721
1.076,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.740
1.096,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.761
1.116,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.780
1.136,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.801
1.157,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.821
1.176,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.841
1.196,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.861
1.216,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.880
1.237,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.901
1.256,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.921
1.276,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.941
1.296,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.961
1.316,1.2000,5.0000,0.0000,0.0000,0.0000,1788374146.980
1.336,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.001
1.356,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.021
1.376,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.041
1.396,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.061
1.416,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.080
1.436,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.101
1.457,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.121
1.477,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.141
1.496,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.160
1.516,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.181
1.536,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.201
1.557,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.222
1.577,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.241
1.596,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.261
1.616,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.281
1.636,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.301
1.656,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.321
1.676,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.341
1.696,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.361
1.716,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.380
1.737,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.401
1.757,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.421
1.776,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.440
1.796,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.461
1.816,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.480
1.836,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.501
1.857,1.2000,5.0000,0.0000,0.0000,0.0000,1788374147.522
