vx,wabs,obstacle,align,follow,angle,fwd,twirl
0,0,0,24.1197,15,0.405409,0,0
0.101076,0.170516,0,22.6615,13.0624,0.059093,0,0.10231
0.0430933,0.26063,0,23.5543,14.2766,0.963646,0,0.156378
0.0494254,0.391083,0,23.6656,14.1329,0.0162444,0,0.23465
0.0466081,0.37688,0,23.7846,14.2723,0.325647,0,0.226128
0.0680464,0.391583,0,23.2026,13.7484,1.30271,0,0.23495
0.0914886,0.365665,0,22.6121,13.3224,0.24505,0,0.219399
0.0249235,0.374167,0,24.0202,14.5311,0.245124,0,0.2245
0.0134114,0.252586,0,24.0531,14.764,0.503645,0,0.151552
0.091307,0.278614,0,21.7033,13.5781,1.00069,0,0.167168
0.0268446,0.293761,0,23.5106,14.4942,0.0621319,0,0.176256
0.049251,0.21324,0,23.1628,14.1159,0.151254,0,0.127944
0.0622392,0.298971,0,22.781,14.0634,1.30116,0,0.179383
0.0772772,0.34636,0,22.4477,13.7026,0.340638,0,0.207816
0.144672,0.527134,0,21.2621,12.4321,1.26817,0,0.316281
0.100017,0.232681,0,23.21,13.2061,0.511365,0,0.139609
0.104335,0.241217,0,23.3858,13.663,0.696056,0,0.14473
0.0245045,0.334155,0,23.654,14.5309,0.305517,0,0.200493
0.0259719,0.401007,0,23.5099,14.6649,0.967489,0,0.240604
0.028125,0.441745,0,24.0422,14.479,1.02825,0,0.265047
0.00290341,0.082097,0,24.1051,14.9452,0.608844,0,0.0492582
0,0.440964,0,24.1197,15,1.37725,0,0.264578
0.0213795,0.4216,0,23.4166,14.6555,1.62462,0,0.25296
0.0161924,0.34077,0,24.0621,14.7014,0.235933,0,0.204462
0.118995,0.332274,0,22.6581,12.7315,0.0321174,0,0.199364
0.028125,0.112986,0,24.0326,14.4654,0.379882,0,0.0677917
0.113891,0.319689,0,21.8473,12.9809,0.0686359,0,0.191813
0.049429,0.333458,0,23.776,14.12,0.414727,0,0.200075
0.0192605,0.406566,0,23.7875,14.7832,1.58089,0,0.24394
0.0183539,0.44544,0,24.0352,14.667,1.10502,0,0.267264
0.0111914,0.247592,0,23.7521,14.7951,0.793915,0,0.148555
0.111346,0.246617,0,22.4071,13.3365,0.646356,0,0.14797
0.0642048,0.335054,0,23.0366,13.8982,1.12589,0,0.201032
0.0136893,0.282635,0,23.7913,14.7607,0.994082,0,0.169581
0.0404123,0.476655,0,23.7591,14.3112,1.23781,0,0.285993
0,0.301118,0,24.1197,15,0.239815,0,0.180671
0.0171064,0.19706,0,23.7124,14.7014,0.73325,0,0.118236
0.0588868,0.208277,0,23.4693,13.876,0.163254,0,0.124966
0.137701,0.289333,0,21.7912,12.3781,0.0223708,0,0.1736
0.0311924,0.16152,0,23.3369,14.4026,0.0918994,0,0.0969122
0.0443339,0.268426,0,22.9462,14.2236,0.786586,0,0.161055
0,0.195238,0,24.1197,15,1.00729,0,0.117143
0.0529865,0.385791,0,23.0594,14.3404,0.842264,0,0.231475
0.0947473,0.406891,0,22.5179,13.2827,0.734972,0,0.244135
0.00978419,0.289127,0,23.9431,14.8156,0.537532,0,0.173476
0.0901647,0.189786,0,23.4881,13.2795,0.330642,0,0.113872
0.0337118,0.42525,0,23.6805,14.4083,0.567646,0,0.25515
0.11184,0.231665,0,21.7121,13.0638,1.18805,0,0.138999
0.0255228,0.427975,0,23.3787,14.5115,0.000139713,0,0.256785
0,0.23796,0,24.1197,15,0.0892363,0,0.142776
0.03125,0.469694,0,23.1313,14.5385,1.81547,0,0.281817
0.0780177,0.398276,0,23.2132,13.6141,0.106153,0,0.238965
0.0691614,0.267841,0,23.4094,13.8882,0.113575,0,0.160704
0,0.248698,0,24.1197,15,0.374969,0,0.149219
0.0376237,0.631008,0,23.413,14.3508,1.09459,0,0.378605
0.00518685,0.424124,0,24.0292,14.9035,0.301556,0,0.254474
0.113003,0.309102,0,22.4932,12.9544,0.527991,0,0.185461
0.0664977,0.327079,0,23.2716,13.8104,0.519871,0,0.196248
0.160082,0.275748,0,22.052,12.9424,0.483818,0,0.165449
0.0420632,0.23958,0,22.8941,14.3204,1.32412,0,0.143748
0.0366476,0.316037,0,23.2884,14.3091,0.186134,0,0.189622
0.0132956,0.321444,0,23.9267,14.7708,1.20611,0,0.192867
0.0525719,0.308976,0,23.0357,14.1947,0.382633,0,0.185385
0,0.266325,0,24.1197,15,0.0194082,0,0.159795
0.0764161,0.328241,0,22.4897,13.5883,0.0490065,0,0.196945
0.0439436,0.35223,0,23.8397,14.2123,0.685852,0,0.211338
0.0400312,0.223448,0,23.5104,14.3679,1.31416,0,0.134069
0,0.517551,0,24.1197,15,0.363116,0,0.310531
0.0862698,0.307106,0,22.5931,13.6394,1.1294,0,0.184264
0.0775939,0.297261,0,22.929,13.529,0.100646,0,0.178357
0.0595913,0.319679,0,23.171,13.8667,0.00927925,0,0.191807
0.0709956,0.267907,0,23.1336,13.6581,0.459261,0,0.160744
0.058367,0.260278,0,23.6525,13.9032,0.453226,0,0.156167
0.033006,0.22266,0,23.204,14.3771,0.388114,0,0.133596
0.0527908,0.179608,0,23.0927,14.0568,0.284298,0,0.107765
0.0549547,0.197484,0,22.8607,13.9849,0.862767,0,0.11849
0.0449842,0.297784,0,23.7119,14.145,0.0262547,0,0.17867
0.0589446,0.221408,0,22.7157,13.8996,0.611322,0,0.132845
0.0953175,0.330318,0,22.9079,13.7251,0.356619,0,0.198191
