vx,wabs,obstacle,align,follow,angle,fwd,twirl
0,0,0,24.1197,15,0.405409,0,0
0.0669012,0.357492,0,23.1658,14.2538,0.668474,0,0.214495
0.0363546,0.368395,0,23.7524,14.7105,0.940866,0,0.221037
0.10441,0.28755,0,22.8956,13.1781,0.427129,0,0.17253
0.0422848,0.307937,0,23.548,14.2609,0.0662055,0,0.184762
0.10221,0.388861,0,22.8736,14.1193,1.0731,0,0.233317
0.00311421,0.309675,0,24.0905,14.9402,0.238155,0,0.185805
0.0385513,0.290381,0,23.3619,14.4118,1.45969,0,0.174229
0.00334274,0.297105,0,24.0557,14.9362,0.387808,0,0.178263
0.0326852,0.346405,0,23.5832,14.4426,0.278603,0,0.207843
0.123984,0.332813,0,22.4255,13.2074,1.13755,0,0.199688
0.0191648,0.299389,0,23.72,14.6724,0.687556,0,0.179633
0.0477902,0.325035,0,23.0925,14.0934,0.405937,0,0.195021
0.0357386,0.330286,0,23.5886,14.3488,0.619968,0,0.198172
0.00246509,0.348032,0,24.0468,14.9533,0.226251,0,0.208819
0.0614729,0.340448,0,23.2897,14.0023,0.268538,0,0.204269
0.0375015,0.323361,0,23.2532,14.3402,0.921892,0,0.194017
0.0494284,0.307442,0,23.6655,14.1301,0.216602,0,0.184465
0.154884,0.321894,0,21.4982,12.2948,0.181812,0,0.193137
0.000286749,0.327206,0,24.1173,14.995,0.455205,0,0.196324
0.0348254,0.328498,0,23.4892,14.5437,0.802482,0,0.197099
0.0477548,0.290292,0,23.36,14.2041,0.735755,0,0.174175
0.107657,0.295999,0,22.545,13.1145,0.0321155,0,0.177599
0.0114074,0.328371,0,23.9159,14.8092,0.708711,0,0.197023
0.0334748,0.351567,0,23.1619,14.4375,0.91102,0,0.21094
0.0596771,0.29359,0,22.6538,13.9044,0.367264,0,0.176154
0.000613264,0.340625,0,24.102,14.9887,0.460881,0,0.204375
0.113994,0.352498,0,21.7135,13.4509,0.933029,0,0.211499
0.061608,0.309619,0,22.876,13.8254,0.0346866,0,0.185772
0.0243593,0.319727,0,23.7069,14.6432,1.09525,0,0.191836
0.0404675,0.303541,0,23.7614,14.2518,0.61019,0,0.182125
0,0.297673,0,24.1197,15,0.258091,0,0.178604
0.122094,0.346601,0,22.6104,13.633,0.845368,0,0.207961
0.00434112,0.342281,0,24.0365,14.9194,0.248939,0,0.205369
0.0382425,0.333299,0,23.8303,14.277,0.494332,0,0.19998
0.010718,0.326185,0,23.865,14.8071,0.844183,0,0.195711
0.0355743,0.384713,0,23.4288,14.3359,0.247299,0,0.230828
0.0147503,0.361604,0,23.7318,14.7328,0.520778,0,0.216962
0.0427889,0.329304,0,23.7468,14.5616,0.498774,0,0.197582
0.0182383,0.340503,0,23.804,14.7379,0.602179,0,0.204302
0.104724,0.311104,0,22.5431,13.081,0.488031,0,0.186662
0.0366334,0.253937,0,23.5207,14.3912,0.87303,0,0.152362
0.0485935,0.349221,0,23.3524,14.4964,1.07903,0,0.209533
0.00290361,0.323716,0,24.0892,14.9501,0.0612206,0,0.19423
0.0314865,0.306602,0,23.8853,14.5855,0.842896,0,0.183961
0.034959,0.26762,0,23.2875,14.3825,0.469307,0,0.160572
0.0879033,0.344542,0,22.3536,13.7903,1.23887,0,0.206725
0.0874505,0.317239,0,23.3139,13.5756,0.544882,0,0.190343
0.108475,0.331404,0,22.5047,13.3653,1.02532,0,0.198842
0.000470412,0.302999,0,24.1163,14.9922,0.631004,0,0.181799
