vx,wabs,obstacle,align,follow,angle,fwd,twirl
0,0,0,24.1197,15,0.405409,0,0
0.0101563,0.207357,0,23.9333,14.8094,0.552936,0,0.124414
0.0194964,0.232365,0,23.675,14.6308,0.251729,0,0.139419
0.0196343,0.204464,0,23.8505,14.6238,0.10541,0,0.122678
0.0243669,0.217664,0,23.5767,14.5887,0.927619,0,0.130598
0.0128198,0.203627,0,23.8467,14.7548,0.00158548,0,0.122176
0.0236306,0.280131,0,23.7228,14.6574,0.754877,0,0.168079
0.0120835,0.161104,0,23.9303,14.7694,0.241308,0,0.0966625
0.0141256,0.18719,0,23.9022,14.7317,0.341982,0,0.112314
0.017097,0.205212,0,23.8059,14.6833,0.338784,0,0.123127
0.021945,0.168795,0,23.7897,14.5832,0.570587,0,0.101277
0.0272456,0.278786,0,23.5107,14.5436,0.742414,0,0.167272
0.0195159,0.189452,0,23.7998,14.6259,0.121693,0,0.113671
0.0224812,0.284865,0,23.7291,14.5711,0.322508,0,0.170919
0.0150905,0.281289,0,23.9208,14.7194,0.576469,0,0.168774
0.0213746,0.205243,0,23.7039,14.6298,0.821448,0,0.123146
0.0208526,0.228773,0,23.7371,14.6028,0.173944,0,0.137264
0.0119742,0.2175,0,23.9183,14.7739,0.299596,0,0.1305
0.0134275,0.242018,0,23.8886,14.7484,0.551233,0,0.145211
0.0172328,0.175595,0,23.7529,14.6789,0.355237,0,0.105357
0.0187481,0.197295,0,23.7898,14.6545,0.414328,0,0.118377
0.0263066,0.200844,0,23.7036,14.4985,0.0887609,0,0.120507
0.0213789,0.201553,0,23.7491,14.5976,0.286167,0,0.120932
0.0117582,0.221637,0,23.9406,14.7773,0.30602,0,0.132982
0.0195822,0.21484,0,23.7569,14.6431,0.489193,0,0.128904
0.0122558,0.186785,0,23.9527,14.7682,0.328567,0,0.112071
0.0218074,0.152927,0,23.7432,14.5867,0.391456,0,0.0917561
0.0347814,0.169594,0,23.301,14.345,0.350432,0,0.101757
0.0130425,0.236859,0,23.8439,14.777,0.571275,0,0.142115
0.0147291,0.25957,0,23.9211,14.7196,0.213766,0,0.155742
0.0164062,0.220667,0,23.7792,14.6899,0.0732393,0,0.1324
0.0169441,0.188307,0,23.773,14.6768,0.0182118,0,0.112984
0.0283561,0.20479,0,23.6386,14.496,0.420525,0,0.122874
0.0126929,0.212193,0,23.8726,14.7569,0.0219531,0,0.127316
0.016475,0.166067,0,23.7681,14.6899,0.430602,0,0.0996405
0.00895402,0.170706,0,23.8997,14.832,0.523598,0,0.102423
0.0117188,0.215393,0,23.92,14.7794,0.690361,0,0.129236
0.0143556,0.220978,0,23.8518,14.725,0.115244,0,0.132587
0.0132813,0.193919,0,23.8485,14.7542,0.4908,0,0.116352
0.0242003,0.233719,0,23.8233,14.608,0.619241,0,0.140232
0.0195312,0.232457,0,23.707,14.6289,0.0483108,0,0.139474
0.0249906,0.204417,0,23.628,14.5224,0.00231934,0,0.12265
0.0152536,0.210257,0,23.8184,14.7228,0.672684,0,0.126154
0.0285507,0.26449,0,23.593,14.4633,0.601673,0,0.158694
0.0158087,0.175304,0,23.85,14.7074,0.446121,0,0.105182
0.0317108,0.216377,0,23.6428,14.3961,0.36006,0,0.129826
0.018932,0.17903,0,23.7977,14.656,0.524358,0,0.107418
0.0260757,0.213322,0,23.7224,14.5026,0.216175,0,0.127993
0.0275221,0.184342,0,23.4901,14.5001,0.49419,0,0.110605
0.0154344,0.182088,0,23.8346,14.7057,0.146499,0,0.109253
0.016323,0.211586,0,23.839,14.6898,0.191066,0,0.126951
0.0202622,0.202948,0,23.7658,14.6284,0.490505,0,0.121769
0.0137972,0.193992,0,23.8729,14.736,0.172589,0,0.116395
0.0243787,0.219833,0,23.6787,14.5687,0.802214,0,0.1319
0.0178915,0.222198,0,23.7729,14.665,0.484293,0,0.133319
0.0129888,0.227045,0,23.8784,14.7551,0.20684,0,0.136227
0.0228483,0.175903,0,23.8537,14.5662,0.0424542,0,0.105542
0.0185044,0.191291,0,23.7495,14.6526,0.369897,0,0.114775
0.01875,0.230884,0,23.8958,14.6454,0.516049,0,0.13853
0.0120512,0.202207,0,23.9097,14.7738,0.631877,0,0.121324
0.0138331,0.210586,0,23.9056,14.7396,0.725039,0,0.126352
0.0147028,0.172897,0,23.8554,14.724,0.512617,0,0.103738
0.0196334,0.191416,0,23.8323,14.6248,0.0813169,0,0.11485
0.0497344,0.177039,0,23.0228,14.0502,0.214976,0,0.106223
0.010854,0.187999,0,23.895,14.7995,0.431682,0,0.1128
0.0275401,0.245209,0,23.6232,14.4859,0.685533,0,0.147125
0.0156575,0.243122,0,23.8524,14.7024,0.31993,0,0.145873
0.0254468,0.255335,0,23.6403,14.5187,0.137033,0,0.153201
0.0324234,0.205001,0,23.5192,14.4085,0.350608,0,0.123001
0.00966615,0.187569,0,23.864,14.8267,0.736434,0,0.112541
0.020712,0.201737,0,23.6227,14.6232,0.819878,0,0.121042
0.0139246,0.164496,0,23.8196,14.7347,0.310562,0,0.0986973
0.0147368,0.231534,0,23.8412,14.7206,0.344963,0,0.13892
0.0210993,0.208217,0,23.7513,14.6095,0.472189,0,0.12493
0.0151262,0.159623,0,23.9099,14.7144,0.317848,0,0.0957739
0.0209334,0.157356,0,23.8279,14.6067,0.181928,0,0.0944137
0.0220201,0.203835,0,23.8235,14.5949,0.125597,0,0.122301
0.0165134,0.203757,0,23.7507,14.7042,0.789587,0,0.122254
0.0145415,0.243865,0,23.8103,14.7225,0.0471234,0,0.146319
