world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
crossing,0,comppi_dos2,True,False,25.46,0.249,7.92,1.1,0.019,0.019,0.0188,0.4,RESULT: SUCCESS (status=4)
crossing,0,comppi_dos4,True,False,25.46,0.244,7.83,1.1,0.019,0.019,0.0179,0.4,RESULT: SUCCESS (status=4)
crossing,1,comppi_dos2,False,True,25.36,0.249,7.42,1.1,-0.032,-0.032,0.0155,0.395,RESULT: SUCCESS (status=4) dyn_collision
crossing,1,comppi_dos4,False,True,25.76,0.247,7.46,1.1,-0.032,-0.032,0.0154,0.399,RESULT: SUCCESS (status=4) dyn_collision
crossing,2,comppi_dos2,True,False,24.76,0.249,7.38,1.1,0.062,0.062,0.0144,0.395,RESULT: SUCCESS (status=4)
crossing,2,comppi_dos4,True,False,26.06,0.248,8.14,1.1,0.008,0.008,0.0186,0.399,RESULT: SUCCESS (status=4)
crossing,3,comppi_dos2,False,True,24.56,0.248,7.36,1.1,-0.082,-0.19,0.0233,0.398,RESULT: SUCCESS (status=4) dyn_collision
crossing,3,comppi_dos4,False,True,24.36,0.249,7.36,1.1,-0.044,-0.19,0.0239,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,4,comppi_dos2,True,False,24.58,0.247,7.36,1.1,0.009,-0.008,0.0149,0.395,RESULT: SUCCESS (status=4)
crossing,4,comppi_dos4,True,False,25.46,0.248,7.43,1.1,-0.001,-0.001,0.0161,0.395,RESULT: SUCCESS (status=4)
crossing,5,comppi_dos2,True,False,24.46,0.249,7.35,1.1,-0.002,-0.051,0.0143,0.395,RESULT: SUCCESS (status=4)
crossing,5,comppi_dos4,True,False,24.96,0.245,7.36,1.1,-0.022,-0.049,0.0154,0.395,RESULT: SUCCESS (status=4)
crossing,6,comppi_dos2,True,False,25.36,0.246,7.44,1.1,-0.009,-0.009,0.0173,0.396,RESULT: SUCCESS (status=4)
crossing,6,comppi_dos4,True,False,24.46,0.241,7.36,1.1,0.009,-0.012,0.0166,0.396,RESULT: SUCCESS (status=4)
crossing,7,comppi_dos2,True,False,26.86,0.247,8.29,1.1,0.004,0.004,0.0181,0.4,RESULT: SUCCESS (status=4)
crossing,7,comppi_dos4,True,False,26.36,0.25,7.94,1.1,0.052,0.052,0.0176,0.395,RESULT: SUCCESS (status=4)
crossing,8,comppi_dos2,True,False,27.26,0.249,8.38,1.1,0.058,0.058,0.0182,0.4,RESULT: SUCCESS (status=4)
crossing,8,comppi_dos4,True,False,24.76,0.247,7.38,1.1,-0.002,-0.002,0.024,0.4,RESULT: SUCCESS (status=4)
crossing,9,comppi_dos2,True,False,28.66,0.246,8.64,1.1,0.003,0.003,0.0176,0.4,RESULT: SUCCESS (status=4)
crossing,9,comppi_dos4,True,False,26.06,0.247,7.46,1.1,0.002,0.002,0.0175,0.395,RESULT: SUCCESS (status=4)
crossing,10,comppi_dos2,True,False,28.36,0.249,8.61,1.1,0.062,0.062,0.0169,0.4,RESULT: SUCCESS (status=4)
crossing,10,comppi_dos4,True,False,28.26,0.25,8.64,1.1,0.063,0.063,0.0182,0.4,RESULT: SUCCESS (status=4)
crossing,11,comppi_dos2,False,True,24.66,0.249,7.35,1.1,-0.037,-0.19,0.0242,0.395,RESULT: SUCCESS (status=4) dyn_collision
crossing,11,comppi_dos4,False,True,24.86,0.244,7.36,1.1,-0.078,-0.19,0.0238,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,12,comppi_dos2,True,False,24.86,0.247,7.81,1.1,0.069,0.069,0.0187,0.4,RESULT: SUCCESS (status=4)
crossing,12,comppi_dos4,True,False,25.26,0.244,7.8,1.1,0.06,0.06,0.0173,0.4,RESULT: SUCCESS (status=4)
