t,x,y,yaw,v,w,t_abs
0.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.452
0.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.472
0.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.492
0.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.512
0.102,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.532
0.122,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.552
0.142,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.572
0.162,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.592
0.182,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.612
0.202,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.632
0.222,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.652
0.242,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.672
0.262,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.692
0.282,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.712
0.302,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.732
0.322,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.752
0.342,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.772
0.362,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.792
0.383,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.812
0.402,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.832
0.422,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.852
0.443,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.872
0.463,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.892
0.483,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.912
0.502,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.932
0.522,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.952
0.542,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.972
0.562,1.2000,5.0000,0.0000,0.0000,0.0000,1788737908.992
0.582,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.012
0.602,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.032
0.622,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.052
0.642,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.072
0.662,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.092
0.682,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.112
0.702,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.132
0.723,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.152
0.742,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.172
0.763,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.192
0.782,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.212
0.802,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.232
0.822,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.252
0.842,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.272
0.862,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.292
0.882,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.312
0.902,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.332
0.922,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.352
0.942,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.372
0.962,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.392
0.982,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.412
1.002,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.432
1.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.452
1.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.472
1.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.492
1.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.512
1.102,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.532
1.122,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.552
1.142,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.572
1.162,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.592
1.182,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.612
1.202,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.632
1.222,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.652
1.243,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.672
1.263,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.692
1.282,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.712
1.302,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.732
1.322,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.752
1.342,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.772
1.362,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.792
1.382,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.812
1.402,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.832
1.422,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.852
1.442,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.872
1.463,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.892
1.482,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.912
1.502,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.932
1.522,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.952
1.542,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.972
1.562,1.2000,5.0000,0.0000,0.0000,0.0000,1788737909.992
1.582,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.012
1.602,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.032
1.622,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.052
1.642,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.072
1.663,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.092
1.682,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.112
1.702,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.132
1.722,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.152
1.742,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.172
1.762,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.192
1.782,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.212
1.802,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.232
1.822,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.252
1.842,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.272
1.862,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.292
1.882,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.312
1.903,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.332
1.922,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.352
1.942,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.372
1.962,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.392
1.982,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.412
2.002,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.432
2.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.452
2.043,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.472
2.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.492
2.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.512
2.102,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.532
2.122,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.552
2.142,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.572
2.163,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.592
2.182,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.612
2.202,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.632
2.223,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.652
2.242,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.672
2.262,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.692
2.282,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.712
2.302,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.732
2.322,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.752
2.342,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.772
2.362,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.792
2.382,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.812
2.402,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.832
2.423,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.852
2.443,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.872
2.463,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.892
2.483,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.912
2.503,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.932
2.523,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.952
2.542,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.972
2.562,1.2000,5.0000,0.0000,0.0000,0.0000,1788737910.992
2.582,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.012
2.602,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.032
2.622,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.052
2.643,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.072
2.662,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.092
2.682,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.112
2.702,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.132
2.722,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.152
2.742,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.172
2.762,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.192
2.782,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.212
2.802,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.232
2.822,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.252
2.842,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.272
2.862,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.292
2.882,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.312
2.902,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.332
2.922,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.352
2.942,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.372
2.962,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.392
2.982,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.412
3.002,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.432
3.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.452
3.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.472
3.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.492
3.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.512
3.102,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.532
3.122,1.2000,5.0000,0.0000,0.0000,0.0000,1788737911.552
