t,t_abs,bx,by,moving
0.232,1788740313.909,4.610,3.500,0
0.432,1788740314.109,4.610,3.500,0
0.632,1788740314.309,4.610,3.500,0
0.832,1788740314.509,4.610,3.500,0
1.032,1788740314.709,4.610,3.500,0
1.232,1788740314.909,4.610,3.500,0
1.432,1788740315.109,4.610,3.500,0
1.632,1788740315.309,4.610,3.500,0
1.832,1788740315.509,4.610,3.500,0
2.032,1788740315.709,4.610,3.500,0
2.232,1788740315.909,4.610,3.500,0
2.431,1788740316.109,4.610,3.500,0
2.631,1788740316.309,4.610,3.500,0
2.832,1788740316.509,4.610,3.500,0
3.032,1788740316.709,4.610,3.500,0
3.232,1788740316.909,4.610,3.500,0
3.433,1788740317.110,4.610,3.500,0
3.633,1788740317.310,4.610,3.500,0
3.832,1788740317.509,4.610,3.500,0
4.032,1788740317.709,4.610,3.500,0
4.232,1788740317.909,4.610,3.500,0
4.433,1788740318.110,4.610,3.500,0
4.633,1788740318.310,4.610,3.500,0
4.832,1788740318.509,4.610,3.500,0
5.031,1788740318.709,4.610,3.500,0
5.232,1788740318.909,4.610,3.500,0
5.432,1788740319.109,4.610,3.500,0
5.632,1788740319.309,4.610,3.500,0
5.832,1788740319.509,4.610,3.500,0
6.032,1788740319.709,4.610,3.500,0
6.232,1788740319.909,4.610,3.500,0
6.433,1788740320.110,4.610,3.500,0
6.632,1788740320.309,4.610,3.500,0
6.832,1788740320.509,4.610,3.500,0
7.032,1788740320.709,4.610,3.500,0
7.232,1788740320.909,4.610,3.500,0
7.432,1788740321.109,4.610,3.500,0
7.632,1788740321.309,4.610,3.500,0
7.832,1788740321.509,4.610,3.500,0
8.032,1788740321.709,4.610,3.500,0
8.232,1788740321.909,4.610,3.500,0
8.432,1788740322.109,4.610,3.500,0
8.632,1788740322.309,4.610,3.500,0
8.833,1788740322.510,4.610,3.500,0
9.033,1788740322.710,4.610,3.500,0
9.232,1788740322.909,4.610,3.500,0
9.432,1788740323.109,4.610,3.500,0
9.631,1788740323.309,4.610,3.500,0
9.831,1788740323.509,4.610,3.500,0
10.031,1788740323.709,4.610,3.500,0
10.232,1788740323.909,4.610,3.500,0
10.432,1788740324.109,4.610,3.500,0
10.633,1788740324.310,4.610,3.500,0
10.832,1788740324.509,4.610,3.500,0
11.032,1788740324.709,4.610,3.500,0
11.233,1788740324.910,4.610,3.500,0
11.432,1788740325.109,4.610,3.500,0
11.632,1788740325.309,4.610,3.500,0
11.832,1788740325.509,4.610,3.500,0
12.031,1788740325.709,4.610,3.500,0
12.232,1788740325.909,4.610,3.552,1
12.432,1788740326.109,4.610,3.604,1
12.632,1788740326.309,4.610,3.655,1
12.832,1788740326.509,4.610,3.707,1
13.031,1788740326.709,4.610,3.759,1
13.232,1788740326.909,4.610,3.811,1
13.432,1788740327.109,4.610,3.863,1
13.632,1788740327.309,4.610,3.914,1
13.831,1788740327.509,4.610,3.966,1
14.032,1788740327.709,4.610,4.018,1
14.232,1788740327.909,4.610,4.070,1
14.432,1788740328.109,4.610,4.122,1
14.632,1788740328.309,4.610,4.173,1
14.832,1788740328.509,4.610,4.225,1
15.032,1788740328.709,4.610,4.277,1
15.232,1788740328.909,4.610,4.329,1
15.432,1788740329.109,4.610,4.381,1
15.632,1788740329.309,4.610,4.432,1
15.832,1788740329.509,4.610,4.484,1
