t,t_abs,bx,by,moving
0.231,1788739417.458,5.587,6.500,0
0.431,1788739417.658,5.587,6.500,0
0.631,1788739417.858,5.587,6.500,0
0.831,1788739418.058,5.587,6.500,0
1.031,1788739418.258,5.587,6.500,0
1.231,1788739418.458,5.587,6.500,0
1.431,1788739418.658,5.587,6.500,0
1.631,1788739418.858,5.587,6.500,0
1.831,1788739419.058,5.587,6.500,0
2.031,1788739419.258,5.587,6.500,0
2.231,1788739419.458,5.587,6.500,0
2.431,1788739419.658,5.587,6.500,0
2.631,1788739419.858,5.587,6.500,0
2.831,1788739420.058,5.587,6.500,0
3.031,1788739420.258,5.587,6.500,0
3.231,1788739420.458,5.587,6.500,0
3.431,1788739420.658,5.587,6.500,0
3.631,1788739420.858,5.587,6.500,0
3.831,1788739421.058,5.587,6.500,0
4.031,1788739421.258,5.587,6.500,0
4.231,1788739421.458,5.587,6.500,0
4.431,1788739421.658,5.587,6.500,0
4.631,1788739421.858,5.587,6.500,0
4.831,1788739422.058,5.587,6.500,0
5.031,1788739422.258,5.587,6.500,0
5.231,1788739422.458,5.587,6.500,0
5.431,1788739422.658,5.587,6.500,0
5.631,1788739422.858,5.587,6.500,0
5.831,1788739423.058,5.587,6.500,0
6.031,1788739423.258,5.587,6.500,0
6.231,1788739423.458,5.587,6.500,0
6.431,1788739423.658,5.587,6.500,0
6.631,1788739423.858,5.587,6.500,0
6.831,1788739424.058,5.587,6.500,0
7.032,1788739424.258,5.587,6.500,0
7.232,1788739424.458,5.587,6.500,0
7.431,1788739424.658,5.587,6.500,0
7.631,1788739424.858,5.587,6.500,0
7.831,1788739425.058,5.587,6.500,0
8.031,1788739425.258,5.587,6.500,0
8.232,1788739425.458,5.587,6.500,0
8.431,1788739425.658,5.587,6.500,0
8.631,1788739425.858,5.587,6.500,0
8.831,1788739426.058,5.587,6.500,0
9.031,1788739426.258,5.587,6.500,0
9.232,1788739426.458,5.587,6.500,0
9.431,1788739426.658,5.587,6.500,0
9.631,1788739426.858,5.587,6.500,0
9.831,1788739427.058,5.587,6.500,0
10.031,1788739427.258,5.587,6.500,0
10.232,1788739427.458,5.587,6.500,0
10.431,1788739427.658,5.587,6.500,0
10.631,1788739427.858,5.587,6.500,0
10.831,1788739428.058,5.587,6.500,0
11.031,1788739428.258,5.587,6.500,0
11.231,1788739428.458,5.587,6.500,0
11.431,1788739428.658,5.587,6.500,0
11.631,1788739428.858,5.587,6.500,0
11.831,1788739429.058,5.587,6.500,0
12.031,1788739429.258,5.587,6.500,0
12.231,1788739429.458,5.587,6.500,0
12.431,1788739429.658,5.587,6.500,0
12.631,1788739429.858,5.587,6.500,0
12.831,1788739430.058,5.587,6.500,0
13.031,1788739430.258,5.587,6.500,0
13.231,1788739430.458,5.587,6.500,0
13.431,1788739430.658,5.587,6.500,0
13.631,1788739430.858,5.587,6.500,0
13.831,1788739431.058,5.587,6.500,0
14.031,1788739431.258,5.587,6.500,0
14.231,1788739431.458,5.587,6.500,0
14.431,1788739431.658,5.587,6.500,0
14.631,1788739431.858,5.587,6.500,0
14.831,1788739432.058,5.587,6.500,0
15.031,1788739432.258,5.587,6.500,0
15.231,1788739432.458,5.587,6.439,1
15.431,1788739432.658,5.587,6.379,1
15.631,1788739432.858,5.587,6.318,1
15.831,1788739433.058,5.587,6.258,1
16.031,1788739433.258,5.587,6.197,1
16.231,1788739433.458,5.587,6.136,1
16.431,1788739433.658,5.587,6.076,1
16.631,1788739433.858,5.587,6.015,1
16.831,1788739434.058,5.587,5.955,1
17.032,1788739434.258,5.587,5.894,1
17.231,1788739434.458,5.587,5.833,1
17.431,1788739434.658,5.587,5.773,1
17.631,1788739434.858,5.587,5.712,1
17.831,1788739435.058,5.587,5.652,1
18.031,1788739435.258,5.587,5.591,1
18.231,1788739435.458,5.587,5.530,1
18.431,1788739435.658,5.587,5.470,1
18.631,1788739435.858,5.587,5.409,1
18.831,1788739436.058,5.587,5.349,1
19.031,1788739436.258,5.587,5.288,1
19.231,1788739436.458,5.587,5.227,1
19.431,1788739436.658,5.587,5.167,1
19.633,1788739436.860,5.587,5.106,1
19.832,1788739437.058,5.587,5.046,1
20.031,1788739437.258,5.587,4.985,1
20.231,1788739437.458,5.587,4.924,1
20.431,1788739437.658,5.587,4.864,1
20.631,1788739437.858,5.587,4.803,1
20.832,1788739438.059,5.587,4.743,1
21.031,1788739438.258,5.587,4.682,1
21.231,1788739438.458,5.587,4.621,1
21.431,1788739438.658,5.587,4.561,1
21.631,1788739438.858,5.587,4.500,1
21.832,1788739439.058,5.587,4.440,1
22.031,1788739439.258,5.587,4.379,1
22.231,1788739439.458,5.587,4.318,1
22.431,1788739439.658,5.587,4.258,1
22.631,1788739439.858,5.587,4.197,1
22.831,1788739440.058,5.587,4.137,1
23.031,1788739440.258,5.587,4.076,1
23.231,1788739440.458,5.587,4.015,1
23.431,1788739440.658,5.587,3.955,1
23.631,1788739440.858,5.587,3.894,1
23.831,1788739441.058,5.587,3.834,1
24.032,1788739441.258,5.587,3.773,1
24.231,1788739441.458,5.587,3.712,1
24.431,1788739441.658,5.587,3.652,1
24.631,1788739441.858,5.587,3.591,1
24.831,1788739442.058,5.587,3.531,1
