t,x,y,yaw,v,w,t_abs
0.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.574
0.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.594
0.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.614
0.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.634
0.102,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.654
0.122,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.674
0.142,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.694
0.162,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.714
0.183,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.734
0.202,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.754
0.222,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.774
0.242,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.794
0.262,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.814
0.282,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.834
0.302,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.854
0.322,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.874
0.342,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.894
0.362,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.914
0.382,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.934
0.402,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.954
0.422,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.974
0.442,1.2000,5.0000,0.0000,0.0000,0.0000,1788739452.994
0.462,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.014
0.482,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.034
0.502,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.054
0.522,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.074
0.542,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.094
0.562,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.114
0.582,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.134
0.602,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.154
0.622,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.174
0.642,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.194
0.663,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.214
0.682,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.234
0.702,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.254
0.722,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.274
0.742,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.294
0.763,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.314
0.782,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.334
0.802,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.354
0.822,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.374
0.842,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.394
0.862,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.414
0.883,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.434
0.902,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.454
0.922,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.474
0.942,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.494
0.962,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.514
0.983,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.534
1.002,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.554
1.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.574
1.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.594
1.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.614
1.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788739453.634
