t,t_abs,bx,by,moving
0.232,1788739626.617,5.083,3.500,0
0.432,1788739626.817,5.083,3.500,0
0.632,1788739627.017,5.083,3.500,0
0.832,1788739627.217,5.083,3.500,0
1.032,1788739627.417,5.083,3.500,0
1.232,1788739627.617,5.083,3.500,0
1.432,1788739627.817,5.083,3.500,0
1.632,1788739628.017,5.083,3.500,0
1.832,1788739628.217,5.083,3.500,0
2.032,1788739628.417,5.083,3.500,0
2.232,1788739628.617,5.083,3.500,0
2.432,1788739628.817,5.083,3.500,0
2.632,1788739629.017,5.083,3.500,0
2.832,1788739629.217,5.083,3.500,0
3.032,1788739629.417,5.083,3.500,0
3.232,1788739629.617,5.083,3.500,0
3.432,1788739629.817,5.083,3.500,0
3.632,1788739630.017,5.083,3.500,0
3.832,1788739630.217,5.083,3.500,0
4.032,1788739630.417,5.083,3.500,0
4.232,1788739630.617,5.083,3.500,0
4.432,1788739630.817,5.083,3.500,0
4.632,1788739631.017,5.083,3.500,0
4.832,1788739631.217,5.083,3.500,0
5.032,1788739631.417,5.083,3.500,0
5.232,1788739631.617,5.083,3.500,0
5.432,1788739631.817,5.083,3.500,0
5.632,1788739632.017,5.083,3.500,0
5.832,1788739632.217,5.083,3.500,0
6.032,1788739632.417,5.083,3.500,0
6.232,1788739632.617,5.083,3.500,0
6.432,1788739632.817,5.083,3.500,0
6.632,1788739633.017,5.083,3.500,0
6.832,1788739633.217,5.083,3.500,0
7.032,1788739633.417,5.083,3.500,0
7.232,1788739633.617,5.083,3.500,0
7.432,1788739633.817,5.083,3.500,0
7.632,1788739634.017,5.083,3.500,0
7.832,1788739634.217,5.083,3.500,0
8.032,1788739634.417,5.083,3.500,0
8.232,1788739634.617,5.083,3.500,0
8.432,1788739634.817,5.083,3.500,0
8.632,1788739635.017,5.083,3.500,0
8.832,1788739635.217,5.083,3.500,0
9.032,1788739635.417,5.083,3.500,0
9.231,1788739635.617,5.083,3.500,0
9.432,1788739635.817,5.083,3.500,0
9.632,1788739636.017,5.083,3.500,0
9.832,1788739636.217,5.083,3.500,0
