t,x,y,yaw,v,w,t_abs
0.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.080
0.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.100
0.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.120
0.083,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.140
0.103,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.160
0.123,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.180
0.143,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.200
0.163,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.220
0.183,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.240
0.203,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.260
0.223,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.280
0.243,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.300
0.263,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.320
0.283,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.340
0.303,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.360
0.323,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.380
0.343,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.400
0.363,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.420
0.383,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.440
0.403,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.460
0.423,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.480
0.443,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.500
0.462,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.520
0.482,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.540
0.502,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.560
0.523,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.580
0.543,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.600
0.563,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.620
0.583,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.640
0.603,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.660
0.623,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.680
0.643,1.2000,5.0000,0.0000,0.0000,0.0000,1788738231.700
