t,x,y,yaw,v,w,t_abs
0.023,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.242
0.043,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.262
0.063,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.282
0.083,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.302
0.103,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.322
0.123,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.342
0.143,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.362
0.162,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.382
0.183,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.402
0.203,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.422
0.223,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.442
0.242,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.462
0.263,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.482
0.283,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.502
0.303,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.522
0.323,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.542
0.343,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.562
0.363,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.582
0.383,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.602
0.403,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.622
0.423,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.642
0.443,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.662
0.463,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.682
0.482,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.702
0.503,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.722
0.523,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.742
0.543,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.762
0.562,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.782
0.583,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.802
0.603,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.822
0.623,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.842
0.643,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.862
0.663,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.882
0.683,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.902
0.703,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.922
0.723,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.942
0.742,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.962
0.763,1.2000,5.0000,0.0000,0.0000,0.0000,1788738266.982
0.783,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.002
0.803,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.022
0.823,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.042
0.843,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.062
0.863,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.082
0.882,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.102
0.903,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.122
0.923,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.142
0.943,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.162
0.963,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.182
0.983,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.202
1.003,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.222
1.023,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.242
1.043,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.262
1.063,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.282
1.083,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.302
1.103,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.322
1.123,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.342
1.143,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.362
1.163,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.382
1.183,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.402
1.203,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.422
1.223,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.442
1.242,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.462
1.262,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.482
1.283,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.502
1.302,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.522
1.322,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.542
1.342,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.562
1.362,1.2000,5.0000,0.0000,0.0000,0.0000,1788738267.582
