t,x,y,yaw,v,w,t_abs
0.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788740061.887
0.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788740061.907
0.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788740061.927
0.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788740061.947
0.102,1.2000,5.0000,0.0000,0.0000,0.0000,1788740061.967
0.123,1.2000,5.0000,0.0000,0.0000,0.0000,1788740061.988
0.143,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.008
0.163,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.028
0.182,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.047
0.202,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.067
0.222,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.087
0.242,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.107
0.262,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.127
0.282,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.147
0.302,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.167
0.322,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.187
0.342,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.207
0.362,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.227
0.382,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.247
0.402,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.267
0.422,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.287
0.442,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.307
0.462,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.327
0.482,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.347
0.502,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.367
0.522,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.387
0.542,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.407
0.562,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.427
0.582,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.447
0.603,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.468
0.622,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.487
0.642,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.507
0.662,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.527
0.683,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.548
0.702,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.567
0.722,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.587
0.742,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.607
0.762,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.627
0.782,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.647
0.803,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.668
0.822,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.687
0.843,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.708
0.862,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.727
0.883,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.748
0.902,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.767
0.922,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.787
0.942,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.807
0.962,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.827
0.982,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.847
1.002,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.867
1.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.887
1.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.907
1.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.927
1.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.947
1.102,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.967
1.122,1.2000,5.0000,0.0000,0.0000,0.0000,1788740062.987
1.142,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.007
1.163,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.028
1.183,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.048
1.203,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.068
1.222,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.087
1.242,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.107
1.262,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.127
1.282,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.147
1.302,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.167
1.322,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.187
1.342,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.207
1.362,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.227
1.382,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.247
1.402,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.267
1.422,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.287
1.443,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.308
1.462,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.327
1.482,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.347
1.503,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.368
1.522,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.387
1.542,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.407
1.563,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.428
1.582,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.447
1.602,1.2000,5.0000,0.0000,0.0000,0.0000,1788740063.467
