t,t_abs,bx,by,moving
0.232,1788738550.318,5.467,3.500,0
0.432,1788738550.517,5.467,3.500,0
0.632,1788738550.717,5.467,3.500,0
0.832,1788738550.917,5.467,3.500,0
1.032,1788738551.117,5.467,3.500,0
1.232,1788738551.317,5.467,3.500,0
1.432,1788738551.517,5.467,3.500,0
1.632,1788738551.717,5.467,3.500,0
1.832,1788738551.917,5.467,3.500,0
2.032,1788738552.117,5.467,3.500,0
2.232,1788738552.317,5.467,3.500,0
2.432,1788738552.517,5.467,3.500,0
2.632,1788738552.717,5.467,3.500,0
2.832,1788738552.917,5.467,3.500,0
3.032,1788738553.117,5.467,3.500,0
3.232,1788738553.317,5.467,3.500,0
3.432,1788738553.517,5.467,3.500,0
3.632,1788738553.717,5.467,3.500,0
3.832,1788738553.917,5.467,3.500,0
4.032,1788738554.117,5.467,3.500,0
4.232,1788738554.317,5.467,3.500,0
4.432,1788738554.517,5.467,3.500,0
4.632,1788738554.717,5.467,3.500,0
4.832,1788738554.917,5.467,3.500,0
5.032,1788738555.117,5.467,3.500,0
5.232,1788738555.317,5.467,3.500,0
5.432,1788738555.517,5.467,3.500,0
5.632,1788738555.717,5.467,3.500,0
5.832,1788738555.917,5.467,3.500,0
6.032,1788738556.117,5.467,3.500,0
6.232,1788738556.317,5.467,3.500,0
6.432,1788738556.517,5.467,3.500,0
6.632,1788738556.717,5.467,3.500,0
6.832,1788738556.917,5.467,3.500,0
7.032,1788738557.117,5.467,3.500,0
7.232,1788738557.317,5.467,3.500,0
7.432,1788738557.517,5.467,3.500,0
7.632,1788738557.717,5.467,3.500,0
7.832,1788738557.917,5.467,3.500,0
8.033,1788738558.119,5.467,3.500,0
8.233,1788738558.319,5.467,3.500,0
8.433,1788738558.519,5.467,3.500,0
8.632,1788738558.718,5.467,3.500,0
8.832,1788738558.917,5.467,3.500,0
9.032,1788738559.117,5.467,3.500,0
9.232,1788738559.317,5.467,3.500,0
9.432,1788738559.517,5.467,3.500,0
9.632,1788738559.717,5.467,3.500,0
9.832,1788738559.917,5.467,3.500,0
10.032,1788738560.117,5.467,3.500,0
10.232,1788738560.317,5.467,3.500,0
10.432,1788738560.517,5.467,3.500,0
10.632,1788738560.718,5.467,3.500,0
10.832,1788738560.917,5.467,3.500,0
11.032,1788738561.117,5.467,3.500,0
11.232,1788738561.317,5.467,3.500,0
11.432,1788738561.517,5.467,3.500,0
11.632,1788738561.717,5.467,3.500,0
11.832,1788738561.917,5.467,3.500,0
12.032,1788738562.117,5.467,3.500,0
12.232,1788738562.317,5.467,3.500,0
12.432,1788738562.517,5.467,3.500,0
12.632,1788738562.717,5.467,3.500,0
12.832,1788738562.917,5.467,3.500,0
13.032,1788738563.117,5.467,3.500,0
13.232,1788738563.317,5.467,3.500,0
13.432,1788738563.517,5.467,3.500,0
13.632,1788738563.717,5.467,3.556,1
13.832,1788738563.917,5.467,3.612,1
14.032,1788738564.117,5.467,3.668,1
14.232,1788738564.317,5.467,3.724,1
14.432,1788738564.517,5.467,3.780,1
14.632,1788738564.717,5.467,3.836,1
14.832,1788738564.917,5.467,3.892,1
15.032,1788738565.117,5.467,3.948,1
15.232,1788738565.317,5.467,4.004,1
15.432,1788738565.517,5.467,4.060,1
15.632,1788738565.717,5.467,4.116,1
15.832,1788738565.917,5.467,4.172,1
16.032,1788738566.117,5.467,4.228,1
16.232,1788738566.317,5.467,4.284,1
16.432,1788738566.517,5.467,4.340,1
16.632,1788738566.717,5.467,4.396,1
16.832,1788738566.917,5.467,4.452,1
17.032,1788738567.117,5.467,4.508,1
17.232,1788738567.317,5.467,4.564,1
17.432,1788738567.517,5.467,4.620,1
17.632,1788738567.717,5.467,4.676,1
17.832,1788738567.917,5.467,4.732,1
18.032,1788738568.117,5.467,4.788,1
18.232,1788738568.317,5.467,4.844,1
18.432,1788738568.517,5.467,4.900,1
