t,t_abs,bx,by,moving
0.231,1788738733.284,4.133,3.500,0
0.431,1788738733.484,4.133,3.500,0
0.631,1788738733.684,4.133,3.500,0
0.832,1788738733.885,4.133,3.500,0
1.031,1788738734.084,4.133,3.500,0
1.232,1788738734.284,4.133,3.500,0
1.431,1788738734.484,4.133,3.500,0
1.631,1788738734.684,4.133,3.500,0
1.831,1788738734.884,4.133,3.500,0
2.031,1788738735.084,4.133,3.500,0
2.231,1788738735.284,4.133,3.500,0
2.431,1788738735.484,4.133,3.500,0
2.632,1788738735.684,4.133,3.500,0
2.832,1788738735.884,4.133,3.500,0
3.031,1788738736.084,4.133,3.500,0
3.231,1788738736.284,4.133,3.500,0
3.431,1788738736.484,4.133,3.500,0
3.631,1788738736.684,4.133,3.500,0
3.831,1788738736.884,4.133,3.500,0
4.031,1788738737.084,4.133,3.500,0
4.231,1788738737.284,4.133,3.500,0
4.431,1788738737.484,4.133,3.500,0
4.632,1788738737.684,4.133,3.500,0
4.831,1788738737.884,4.133,3.500,0
5.031,1788738738.084,4.133,3.500,0
5.231,1788738738.284,4.133,3.500,0
5.431,1788738738.484,4.133,3.500,0
5.631,1788738738.684,4.133,3.500,0
5.831,1788738738.884,4.133,3.500,0
6.031,1788738739.084,4.133,3.500,0
6.231,1788738739.284,4.133,3.500,0
6.431,1788738739.484,4.133,3.500,0
6.631,1788738739.684,4.133,3.500,0
6.831,1788738739.884,4.133,3.500,0
7.031,1788738740.084,4.133,3.500,0
7.231,1788738740.284,4.133,3.500,0
7.431,1788738740.484,4.133,3.500,0
7.631,1788738740.684,4.133,3.500,0
7.832,1788738740.884,4.133,3.500,0
8.033,1788738741.085,4.133,3.500,0
8.232,1788738741.284,4.133,3.500,0
8.431,1788738741.484,4.133,3.500,0
8.631,1788738741.684,4.133,3.500,0
8.831,1788738741.884,4.133,3.500,0
9.032,1788738742.084,4.133,3.500,0
9.233,1788738742.285,4.133,3.500,0
9.432,1788738742.484,4.133,3.500,0
9.631,1788738742.684,4.133,3.500,0
9.831,1788738742.884,4.133,3.500,0
10.033,1788738743.085,4.133,3.500,0
10.233,1788738743.285,4.133,3.500,0
10.432,1788738743.484,4.133,3.500,0
10.631,1788738743.684,4.133,3.500,0
10.832,1788738743.884,4.133,3.500,0
11.032,1788738744.084,4.133,3.500,0
11.233,1788738744.285,4.133,3.500,0
11.432,1788738744.484,4.133,3.500,0
11.631,1788738744.684,4.133,3.500,0
11.831,1788738744.884,4.133,3.500,0
12.031,1788738745.084,4.133,3.564,1
12.231,1788738745.284,4.133,3.628,1
12.431,1788738745.484,4.133,3.693,1
12.633,1788738745.685,4.133,3.757,1
12.832,1788738745.885,4.133,3.821,1
13.033,1788738746.085,4.133,3.885,1
13.232,1788738746.284,4.133,3.949,1
13.431,1788738746.484,4.133,4.014,1
13.633,1788738746.685,4.133,4.078,1
13.831,1788738746.884,4.133,4.142,1
14.031,1788738747.084,4.133,4.206,1
