world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
crossing,0,comppi,False,True,25.26,0.243,7.36,1.1,-0.039,-0.13,0.0238,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,0,comppi_nodetour,True,False,25.46,0.245,7.36,1.1,-0.003,-0.072,0.016,0.395,RESULT: SUCCESS (status=4)
crossing,0,mppi,False,True,9.16,4.037,3.56,1.1,-0.045,-0.09,0.0321,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,0,dwb,True,False,26.16,0.249,7.36,1.1,0.032,-0.006,0.0531,0.4,RESULT: SUCCESS (status=4)
crossing,1,comppi,True,False,24.76,0.246,7.36,1.1,0.006,-0.03,0.0142,0.395,RESULT: SUCCESS (status=4)
crossing,1,comppi_nodetour,True,False,24.96,0.243,7.36,1.1,-0.004,-0.014,0.0139,0.395,RESULT: SUCCESS (status=4)
crossing,1,mppi,False,True,8.26,4.405,3.2,1.1,-0.028,-0.028,0.033,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,1,dwb,True,False,30.56,0.244,8.44,1.1,0.005,0.005,0.0524,0.4,RESULT: SUCCESS (status=4)
crossing,2,comppi,False,True,26.36,0.245,8.09,1.1,-0.038,-0.038,0.0187,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,2,comppi_nodetour,True,False,24.36,0.244,7.36,1.1,0.193,0.16,0.0138,0.396,RESULT: SUCCESS (status=4)
crossing,2,mppi,False,False,8.96,4.146,3.46,1.1,0.024,0.009,0.0335,0.403,RESULT: FAILURE (status=6)
crossing,2,dwb,True,False,51.16,0.247,11.71,1.1,0.259,0.259,0.0312,0.4,RESULT: SUCCESS (status=4)
crossing,3,comppi,False,True,24.36,0.245,7.36,1.1,-0.068,-0.19,0.0238,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,3,comppi_nodetour,False,True,24.36,0.247,7.36,1.1,-0.054,-0.19,0.0236,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,3,mppi,False,True,10.36,3.556,4.04,1.1,-0.047,-0.114,0.0319,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,3,dwb,False,True,24.76,0.244,7.36,1.1,-0.039,-0.19,0.0393,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,4,comppi,True,False,27.46,0.244,8.33,1.1,0.009,0.009,0.0177,0.4,RESULT: SUCCESS (status=4)
crossing,4,comppi_nodetour,True,False,25.36,0.245,7.36,1.1,0.062,0.052,0.0138,0.397,RESULT: SUCCESS (status=4)
crossing,4,mppi,False,False,7.36,4.82,2.79,1.1,-0.009,-0.02,0.035,0.403,RESULT: FAILURE (status=6)
crossing,4,dwb,False,False,15.16,5.707,3.3,1.1,0.234,0.234,0.0297,0.4,RESULT: FAILURE (status=6)
crossing,5,comppi,True,False,27.76,0.24,8.63,1.1,0.036,0.036,0.0171,0.4,RESULT: SUCCESS (status=4)
crossing,5,comppi_nodetour,True,False,24.28,0.239,7.37,1.1,0.284,0.25,0.0128,0.394,RESULT: SUCCESS (status=4)
crossing,5,mppi,False,False,9.98,3.758,3.87,1.1,-0.014,-0.017,0.0321,0.406,RESULT: FAILURE (status=6)
crossing,5,dwb,True,False,24.56,0.246,7.48,1.1,0.191,0.191,0.0334,0.4,RESULT: SUCCESS (status=4)
crossing,6,comppi,False,True,24.46,0.243,7.36,1.1,-0.071,-0.19,0.024,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,6,comppi_nodetour,False,True,24.26,0.245,7.36,1.1,-0.028,-0.19,0.0246,0.395,RESULT: SUCCESS (status=4) dyn_collision
crossing,6,mppi,False,True,10.18,3.63,3.97,1.1,-0.061,-0.061,0.032,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,6,dwb,False,True,24.96,0.244,7.36,1.1,-0.059,-0.19,0.0437,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,7,comppi,True,False,25.16,0.242,7.45,1.1,-0.007,-0.007,0.0163,0.397,RESULT: SUCCESS (status=4)
crossing,7,comppi_nodetour,True,False,24.16,0.237,7.37,1.1,0.135,0.106,0.0153,0.396,RESULT: SUCCESS (status=4)
crossing,7,mppi,False,False,6.76,5.12,2.49,1.1,0.013,0.013,0.0275,0.403,RESULT: FAILURE (status=6)
crossing,7,dwb,True,False,50.26,0.249,11.7,1.1,0.245,0.245,0.0306,0.4,RESULT: SUCCESS (status=4)
crossing,8,comppi,False,True,24.56,0.243,7.36,1.1,-0.138,-0.19,0.0242,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,8,comppi_nodetour,False,True,24.36,0.24,7.36,1.1,-0.039,-0.136,0.024,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,8,mppi,False,True,9.06,4.077,3.52,1.1,-0.08,-0.08,0.0322,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,8,dwb,True,False,25.46,0.242,7.37,1.1,0.032,0.022,0.0489,0.4,RESULT: SUCCESS (status=4)
crossing,9,comppi,True,False,24.46,0.242,7.36,1.1,-0.017,-0.024,0.0145,0.395,RESULT: SUCCESS (status=4)
crossing,9,comppi_nodetour,True,False,24.26,0.247,7.36,1.1,0.063,0.032,0.0149,0.395,RESULT: SUCCESS (status=4)
crossing,9,mppi,False,False,10.46,3.533,4.07,1.1,-0.02,-0.02,0.0305,0.403,RESULT: FAILURE (status=6)
crossing,9,dwb,False,False,19.16,4.514,4.68,1.1,0.215,0.215,0.0283,0.4,RESULT: FAILURE (status=6)
crossing,10,comppi,False,True,24.46,0.248,7.36,1.1,-0.069,-0.142,0.0245,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,10,comppi_nodetour,True,False,24.46,0.24,7.36,1.1,-0.009,-0.038,0.0146,0.395,RESULT: SUCCESS (status=4)
crossing,10,mppi,False,True,8.76,4.197,3.4,1.1,-0.069,-0.126,0.0324,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,10,dwb,True,False,25.16,0.244,7.36,1.1,-0.014,-0.081,0.0414,0.4,RESULT: SUCCESS (status=4)
crossing,11,comppi,False,True,24.46,0.25,7.35,1.1,-0.027,-0.088,0.0248,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,11,comppi_nodetour,False,True,24.46,0.241,7.36,1.1,-0.04,-0.108,0.0239,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,11,mppi,False,False,6.46,5.123,2.48,1.1,-0.005,-0.005,0.0355,0.406,RESULT: FAILURE (status=6)
crossing,11,dwb,False,True,24.96,0.239,7.37,1.1,-0.057,-0.094,0.0406,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,12,comppi,True,False,26.46,0.244,8.26,1.1,0.067,0.067,0.0175,0.398,RESULT: SUCCESS (status=4)
crossing,12,comppi_nodetour,True,False,24.46,0.246,7.36,1.1,0.151,0.142,0.0144,0.395,RESULT: SUCCESS (status=4)
crossing,12,mppi,False,False,10.18,3.693,3.92,1.1,0.043,0.04,0.0313,0.403,RESULT: FAILURE (status=6)
crossing,12,dwb,True,False,50.46,0.247,11.7,1.1,0.287,0.287,0.0263,0.4,RESULT: SUCCESS (status=4)
crossing,13,comppi,False,True,24.68,0.246,7.36,1.1,-0.071,-0.098,0.0232,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,13,comppi_nodetour,True,False,25.66,0.246,7.74,1.1,-0.006,-0.006,0.0173,0.395,RESULT: SUCCESS (status=4)
crossing,13,mppi,False,True,9.16,4.045,3.56,1.1,-0.03,-0.08,0.0323,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,13,dwb,True,False,50.46,0.241,11.72,1.1,0.194,0.194,0.0315,0.4,RESULT: SUCCESS (status=4)
crossing,14,comppi,False,True,24.46,0.245,7.36,1.1,-0.112,-0.173,0.0237,0.395,RESULT: SUCCESS (status=4) dyn_collision
crossing,14,comppi_nodetour,False,True,23.96,0.248,7.35,1.1,-0.095,-0.19,0.0242,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,14,mppi,False,True,9.56,3.877,3.72,1.1,-0.088,-0.151,0.0325,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,14,dwb,False,True,24.68,0.242,7.36,1.1,-0.078,-0.19,0.0452,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,0,comppi_noanneal,False,True,25.16,0.246,7.36,1.1,-0.057,-0.161,0.023,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,1,comppi_noanneal,True,False,25.96,0.249,7.81,1.1,0.056,0.056,0.0164,0.395,RESULT: SUCCESS (status=4)
crossing,2,comppi_noanneal,False,True,25.96,0.25,7.9,1.1,-0.028,-0.028,0.0175,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,3,comppi_noanneal,False,True,26.56,0.241,8.22,1.1,-0.031,-0.031,0.0179,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,4,comppi_noanneal,True,False,32.66,0.242,9.78,1.1,-0.018,-0.018,0.0161,0.399,RESULT: SUCCESS (status=4)
crossing,5,comppi_noanneal,True,False,24.86,0.248,7.35,1.1,-0.014,-0.057,0.0167,0.397,RESULT: SUCCESS (status=4)
crossing,6,comppi_noanneal,False,True,26.26,0.243,8.05,1.1,-0.033,-0.033,0.0179,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,7,comppi_noanneal,False,True,26.06,0.248,7.82,1.1,-0.025,-0.025,0.0169,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,8,comppi_noanneal,False,True,25.16,0.246,7.36,1.1,-0.038,-0.118,0.0233,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,9,comppi_noanneal,True,False,25.06,0.247,7.79,1.1,0.045,0.045,0.0178,0.395,RESULT: SUCCESS (status=4)
crossing,10,comppi_noanneal,False,True,28.06,0.248,8.52,1.1,-0.03,-0.03,0.0247,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,11,comppi_noanneal,False,True,24.56,0.248,7.36,1.1,-0.097,-0.153,0.0241,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,12,comppi_noanneal,False,True,24.46,0.249,7.36,1.1,-0.079,-0.19,0.0236,0.398,RESULT: SUCCESS (status=4) dyn_collision
crossing,13,comppi_noanneal,False,True,24.86,0.249,7.35,1.1,-0.052,-0.19,0.0234,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,14,comppi_noanneal,True,False,25.76,0.25,7.9,1.1,0.051,0.051,0.0173,0.396,RESULT: SUCCESS (status=4)
