world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
crossing,0,mppi,False,True,9.96,3.717,3.88,1.1,-0.067,-0.117,0.0313,0.404,RESULT: FAILURE (status=6) dyn_collision
crossing,0,mppi_tuned,False,True,10.06,3.686,3.92,1.1,-0.06,-0.06,0.0342,0.434,RESULT: FAILURE (status=6) dyn_collision
crossing,1,mppi,False,False,11.08,3.28,4.32,1.1,-0.021,-0.021,0.0308,0.403,RESULT: FAILURE (status=6)
crossing,1,mppi_tuned,False,True,11.28,3.257,4.36,1.1,-0.026,-0.026,0.0312,0.415,RESULT: FAILURE (status=6) dyn_collision
crossing,2,mppi,False,False,9.16,4.048,3.55,1.1,-0.003,-0.037,0.0337,0.406,RESULT: FAILURE (status=6)
crossing,2,mppi_tuned,False,False,9.36,4.022,3.59,1.1,-0.017,-0.057,0.0364,0.418,RESULT: FAILURE (status=6)
crossing,3,mppi,False,True,9.46,3.916,3.68,1.1,-0.058,-0.058,0.032,0.405,RESULT: FAILURE (status=6) dyn_collision
crossing,3,mppi_tuned,False,True,9.66,3.863,3.74,1.1,-0.068,-0.068,0.0351,0.422,RESULT: FAILURE (status=6) dyn_collision
crossing,4,mppi,False,False,10.36,3.586,4.02,1.1,0.027,0.011,0.0308,0.403,RESULT: FAILURE (status=6)
crossing,4,mppi_tuned,False,False,10.46,3.585,4.03,1.1,0.044,0.044,0.0306,0.401,RESULT: FAILURE (status=6)
crossing,5,mppi,False,False,6.26,5.227,2.39,1.1,0.052,0.038,0.0343,0.403,RESULT: FAILURE (status=6)
crossing,5,mppi_tuned,False,False,6.56,5.169,2.46,1.1,0.011,-0.013,0.0341,0.401,RESULT: FAILURE (status=6)
crossing,6,mppi,False,False,8.86,4.245,3.37,1.1,0.015,0.015,0.0326,0.403,RESULT: FAILURE (status=6)
crossing,6,mppi_tuned,False,False,9.56,4.228,3.51,1.1,-0.01,-0.01,0.0365,0.411,RESULT: FAILURE (status=6)
crossing,7,mppi,False,False,10.38,3.557,4.04,1.1,-0.006,-0.045,0.0319,0.403,RESULT: FAILURE (status=6)
crossing,7,mppi_tuned,False,True,10.56,3.54,4.07,1.1,-0.026,-0.066,0.0346,0.407,RESULT: FAILURE (status=6) dyn_collision
crossing,8,mppi,False,True,7.46,4.718,2.88,1.1,-0.075,-0.075,0.0342,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,8,mppi_tuned,False,True,7.56,4.699,2.9,1.1,-0.051,-0.097,0.0303,0.402,RESULT: FAILURE (status=6) dyn_collision
crossing,9,mppi,False,False,8.06,4.524,3.09,1.1,0.029,0.029,0.0316,0.403,RESULT: FAILURE (status=6)
crossing,9,mppi_tuned,False,False,8.26,4.518,3.13,1.1,0.031,0.017,0.034,0.406,RESULT: FAILURE (status=6)
crossing,10,mppi,False,True,7.96,4.516,3.08,1.1,-0.038,-0.104,0.0342,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,10,mppi_tuned,False,True,8.06,4.492,3.11,1.1,-0.088,-0.088,0.0339,0.409,RESULT: FAILURE (status=6) dyn_collision
crossing,11,mppi,False,True,8.76,4.2,3.4,1.1,-0.059,-0.122,0.0332,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,11,mppi_tuned,False,True,8.96,4.136,3.47,1.1,-0.079,-0.128,0.0346,0.431,RESULT: FAILURE (status=6) dyn_collision
crossing,12,mppi,False,False,8.36,4.427,3.19,1.1,0.015,0.009,0.0336,0.403,RESULT: FAILURE (status=6)
crossing,12,mppi_tuned,False,True,8.76,4.362,3.3,1.1,-0.041,-0.058,0.0347,0.417,RESULT: FAILURE (status=6) dyn_collision
crossing,13,mppi,False,True,7.16,4.863,2.74,1.1,-0.027,-0.055,0.0308,0.403,RESULT: FAILURE (status=6) dyn_collision
crossing,13,mppi_tuned,False,True,7.36,4.827,2.79,1.1,-0.026,-0.068,0.0387,0.428,RESULT: FAILURE (status=6) dyn_collision
crossing,14,mppi,False,False,10.26,3.637,3.99,1.1,0.032,0.032,0.0312,0.403,RESULT: FAILURE (status=6)
crossing,14,mppi_tuned,False,False,10.76,3.57,4.11,1.1,-0.004,-0.031,0.0317,0.401,RESULT: FAILURE (status=6)
