world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
crossing,0,comppi_dos2,False,True,25.46,0.244,7.36,1.1,-0.029,-0.065,0.0197,0.395,RESULT: SUCCESS (status=4) dyn_collision
crossing,0,comppi_dos4,False,True,25.56,0.248,7.35,1.1,-0.053,-0.105,0.0231,0.398,RESULT: SUCCESS (status=4) dyn_collision
crossing,0,comppi_noanneal,False,True,24.76,0.249,7.35,1.1,-0.06,-0.127,0.0242,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,0,comppi_nodetour,False,True,24.86,0.244,7.36,1.1,-0.047,-0.103,0.0246,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,1,comppi_dos2,True,False,24.26,0.249,7.36,1.1,-0.018,-0.047,0.02,0.396,RESULT: SUCCESS (status=4)
crossing,1,comppi_dos4,False,True,25.66,0.248,7.61,1.1,-0.029,-0.029,0.0203,0.395,RESULT: SUCCESS (status=4) dyn_collision
crossing,1,comppi_noanneal,False,True,25.56,0.249,7.44,1.1,-0.029,-0.029,0.0161,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,1,comppi_nodetour,True,False,24.66,0.245,7.36,1.1,0.037,0.025,0.0148,0.396,RESULT: SUCCESS (status=4)
crossing,2,comppi_dos2,True,False,26.36,0.248,8.09,1.1,-0.008,-0.008,0.019,0.397,RESULT: SUCCESS (status=4)
crossing,2,comppi_dos4,True,False,26.66,0.239,8.15,1.1,-0.008,-0.008,0.0189,0.397,RESULT: SUCCESS (status=4)
crossing,2,comppi_noanneal,False,False,26.46,4.533,5.4,1.1,-0.009,-0.009,0.0171,0.396,RESULT: FAILURE (status=6)
crossing,2,comppi_nodetour,True,False,24.76,0.238,7.36,1.1,-0.021,-0.035,0.0149,0.396,RESULT: SUCCESS (status=4)
crossing,3,comppi_dos2,False,True,24.76,0.248,7.36,1.1,-0.066,-0.19,0.0238,0.398,RESULT: SUCCESS (status=4) dyn_collision
crossing,3,comppi_dos4,False,True,24.96,0.245,7.36,1.1,-0.117,-0.19,0.0235,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,3,comppi_noanneal,False,True,24.76,0.248,7.36,1.1,-0.082,-0.19,0.0242,0.398,RESULT: SUCCESS (status=4) dyn_collision
crossing,3,comppi_nodetour,False,True,24.98,0.248,7.36,1.1,-0.061,-0.19,0.0231,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,4,comppi_dos2,False,True,26.96,0.247,8.18,1.1,-0.027,-0.027,0.0187,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,4,comppi_dos4,False,True,25.36,0.247,7.47,1.1,-0.028,-0.028,0.0167,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,4,comppi_noanneal,True,False,26.16,0.243,7.86,1.1,0.023,0.023,0.0163,0.396,RESULT: SUCCESS (status=4)
crossing,4,comppi_nodetour,True,False,28.36,0.247,8.71,1.1,-0.023,-0.023,0.0174,0.399,RESULT: SUCCESS (status=4)
crossing,5,comppi_dos2,True,False,28.36,0.249,8.47,1.1,0.062,0.062,0.0173,0.4,RESULT: SUCCESS (status=4)
crossing,5,comppi_dos4,True,False,25.56,0.247,7.46,1.1,0.008,0.008,0.0157,0.399,RESULT: SUCCESS (status=4)
crossing,5,comppi_noanneal,False,False,22.16,5.54,4.21,1.1,0.008,0.008,0.0168,0.395,RESULT: FAILURE (status=6)
crossing,5,comppi_nodetour,True,False,24.76,0.248,7.36,1.1,0.222,0.197,0.0131,0.396,RESULT: SUCCESS (status=4)
crossing,6,comppi_dos2,True,False,25.46,0.249,7.96,1.1,0.04,0.04,0.0175,0.4,RESULT: SUCCESS (status=4)
crossing,6,comppi_dos4,True,False,25.96,0.247,7.92,1.1,0.033,0.033,0.0172,0.396,RESULT: SUCCESS (status=4)
crossing,6,comppi_noanneal,True,False,25.16,0.239,7.82,1.1,0.039,0.039,0.0171,0.397,RESULT: SUCCESS (status=4)
crossing,6,comppi_nodetour,True,False,23.76,0.25,7.35,1.1,0.149,0.133,0.014,0.397,RESULT: SUCCESS (status=4)
crossing,7,comppi_dos2,True,False,29.16,0.245,8.97,1.1,-0.02,-0.02,0.0172,0.4,RESULT: SUCCESS (status=4)
crossing,7,comppi_dos4,True,False,25.36,0.247,7.44,1.1,-0.022,-0.022,0.0174,0.396,RESULT: SUCCESS (status=4)
crossing,7,comppi_noanneal,True,False,26.26,0.244,8.12,1.1,-0.021,-0.021,0.0174,0.396,RESULT: SUCCESS (status=4)
crossing,7,comppi_nodetour,True,False,24.36,0.247,7.36,1.1,0.038,0.029,0.0152,0.397,RESULT: SUCCESS (status=4)
crossing,8,comppi_dos2,False,True,25.16,0.24,7.36,1.1,-0.06,-0.152,0.0235,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,8,comppi_dos4,False,True,25.06,0.242,7.36,1.1,-0.077,-0.19,0.0244,0.399,RESULT: SUCCESS (status=4) dyn_collision
crossing,8,comppi_noanneal,False,True,25.16,0.249,7.35,1.1,-0.08,-0.176,0.0234,0.396,RESULT: SUCCESS (status=4) dyn_collision
crossing,8,comppi_nodetour,True,False,25.56,0.249,7.35,1.1,-0.024,-0.097,0.0163,0.396,RESULT: SUCCESS (status=4)
crossing,9,comppi_dos2,True,False,25.76,0.242,8.03,1.1,0.074,0.074,0.0184,0.4,RESULT: SUCCESS (status=4)
crossing,9,comppi_dos4,True,False,25.96,0.247,8.02,1.1,0.07,0.07,0.0177,0.399,RESULT: SUCCESS (status=4)
crossing,9,comppi_noanneal,True,False,25.46,0.244,7.78,1.1,0.066,0.066,0.0174,0.395,RESULT: SUCCESS (status=4)
crossing,9,comppi_nodetour,True,False,24.16,0.241,7.36,1.1,0.191,0.168,0.0139,0.396,RESULT: SUCCESS (status=4)
crossing,10,comppi_dos2,True,False,24.36,0.243,7.36,1.1,-0.011,-0.079,0.0237,0.396,RESULT: SUCCESS (status=4)
crossing,10,comppi_dos4,True,False,24.56,0.247,7.36,1.1,-0.018,-0.067,0.0158,0.396,RESULT: SUCCESS (status=4)
crossing,10,comppi_noanneal,True,False,24.46,0.243,7.36,1.1,-0.011,-0.085,0.0232,0.395,RESULT: SUCCESS (status=4)
crossing,10,comppi_nodetour,False,True,24.76,0.245,7.36,1.1,-0.03,-0.114,0.0231,0.394,RESULT: SUCCESS (status=4) dyn_collision
crossing,11,comppi_dos2,False,True,24.86,0.245,7.36,1.1,-0.057,-0.124,0.0233,0.395,RESULT: SUCCESS (status=4) dyn_collision
crossing,11,comppi_dos4,False,True,24.26,0.241,7.36,1.1,-0.049,-0.132,0.0238,0.397,RESULT: SUCCESS (status=4) dyn_collision
crossing,11,comppi_noanneal,True,False,24.66,0.249,7.36,1.1,0.007,-0.077,0.0239,0.397,RESULT: SUCCESS (status=4)
crossing,11,comppi_nodetour,False,True,24.66,0.249,7.36,1.1,-0.067,-0.151,0.0234,0.395,RESULT: SUCCESS (status=4) dyn_collision
crossing,12,comppi_dos2,True,False,27.26,0.246,8.25,1.1,0.038,0.038,0.0176,0.4,RESULT: SUCCESS (status=4)
crossing,12,comppi_dos4,True,False,27.66,0.25,8.45,1.1,-0.018,-0.018,0.0252,0.4,RESULT: SUCCESS (status=4)
crossing,12,comppi_noanneal,True,False,26.06,0.248,7.94,1.1,-0.017,-0.017,0.0176,0.396,RESULT: SUCCESS (status=4)
crossing,12,comppi_nodetour,True,False,25.06,0.247,7.36,1.1,0.175,0.143,0.0133,0.395,RESULT: SUCCESS (status=4)
crossing,13,comppi_dos2,False,True,29.68,0.248,9.19,1.1,-0.029,-0.029,0.0203,0.4,RESULT: SUCCESS (status=4) dyn_collision
crossing,13,comppi_dos4,True,False,28.96,0.247,8.49,1.1,-0.024,-0.039,0.0246,0.4,RESULT: SUCCESS (status=4)
crossing,13,comppi_noanneal,True,False,26.96,0.246,8.09,1.1,0.023,0.023,0.0169,0.397,RESULT: SUCCESS (status=4)
crossing,13,comppi_nodetour,False,True,28.76,0.247,8.69,1.1,-0.025,-0.025,0.0174,0.398,RESULT: SUCCESS (status=4) dyn_collision
