world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
clutter,0,comppi,True,False,21.56,0.246,7.68,0.25,,,0.0093,0.396,RESULT: SUCCESS (status=4)
clutter,0,comppi_k2048,True,False,21.66,0.245,7.67,0.25,,,0.0085,0.399,RESULT: SUCCESS (status=4)
clutter,0,comppi_t48,True,False,24.88,0.249,7.78,0.269,,,0.009,0.398,RESULT: SUCCESS (status=4)
clutter,1,comppi,True,False,20.56,0.248,7.36,0.25,,,0.0102,0.396,RESULT: SUCCESS (status=4)
clutter,1,comppi_k2048,True,False,20.96,0.246,7.36,0.25,,,0.0081,0.394,RESULT: SUCCESS (status=4)
clutter,1,comppi_t48,True,False,27.76,0.249,7.38,0.3,,,0.0073,0.397,RESULT: SUCCESS (status=4)
clutter,2,comppi,True,False,20.76,0.246,7.36,0.45,,,0.0087,0.396,RESULT: SUCCESS (status=4)
clutter,2,comppi_k2048,True,False,20.76,0.242,7.36,0.45,,,0.0085,0.394,RESULT: SUCCESS (status=4)
clutter,2,comppi_t48,True,False,26.06,0.248,7.37,0.45,,,0.0077,0.396,RESULT: SUCCESS (status=4)
clutter,3,comppi,True,False,21.06,0.248,7.36,0.3,,,0.0084,0.396,RESULT: SUCCESS (status=4)
clutter,3,comppi_k2048,True,False,20.76,0.249,7.36,0.255,,,0.0087,0.395,RESULT: SUCCESS (status=4)
clutter,3,comppi_t48,True,False,25.96,0.248,7.38,0.3,,,0.0078,0.398,RESULT: SUCCESS (status=4)
clutter,4,comppi,True,False,20.86,0.243,7.46,0.25,,,0.0107,0.398,RESULT: SUCCESS (status=4)
clutter,4,comppi_k2048,True,False,21.26,0.243,7.45,0.25,,,0.0076,0.395,RESULT: SUCCESS (status=4)
clutter,4,comppi_t48,True,False,25.56,0.248,7.48,0.269,,,0.0078,0.398,RESULT: SUCCESS (status=4)
clutter,5,comppi,True,False,20.76,0.24,7.41,0.25,,,0.0112,0.395,RESULT: SUCCESS (status=4)
clutter,5,comppi_k2048,True,False,20.66,0.248,7.4,0.25,,,0.0132,0.394,RESULT: SUCCESS (status=4)
clutter,5,comppi_t48,True,False,25.66,0.248,7.43,0.292,,,0.0081,0.399,RESULT: SUCCESS (status=4)
clutter,6,comppi,True,False,20.66,0.239,7.36,0.6,,,0.0098,0.396,RESULT: SUCCESS (status=4)
clutter,6,comppi_k2048,True,False,20.86,0.242,7.36,0.6,,,0.0084,0.394,RESULT: SUCCESS (status=4)
clutter,6,comppi_t48,True,False,24.66,0.249,7.36,0.6,,,0.0077,0.397,RESULT: SUCCESS (status=4)
clutter,7,comppi,True,False,20.66,0.245,7.36,0.95,,,0.009,0.397,RESULT: SUCCESS (status=4)
clutter,7,comppi_k2048,True,False,20.78,0.246,7.36,0.9,,,0.0086,0.394,RESULT: SUCCESS (status=4)
clutter,7,comppi_t48,True,False,25.16,0.248,7.36,0.9,,,0.0074,0.398,RESULT: SUCCESS (status=4)
clutter,8,comppi,True,False,20.76,0.249,7.35,0.35,,,0.0097,0.396,RESULT: SUCCESS (status=4)
clutter,8,comppi_k2048,True,False,20.66,0.249,7.35,0.3,,,0.0093,0.394,RESULT: SUCCESS (status=4)
clutter,8,comppi_t48,True,False,26.16,0.249,7.36,0.35,,,0.0078,0.398,RESULT: SUCCESS (status=4)
clutter,9,comppi,True,False,20.66,0.25,7.35,0.8,,,0.0098,0.395,RESULT: SUCCESS (status=4)
clutter,9,comppi_k2048,True,False,21.06,0.249,7.35,0.8,,,0.0076,0.394,RESULT: SUCCESS (status=4)
clutter,9,comppi_t48,True,False,24.56,0.25,7.37,0.802,,,0.0078,0.397,RESULT: SUCCESS (status=4)
clutter,10,comppi,True,False,20.86,0.244,7.36,0.65,,,0.0083,0.396,RESULT: SUCCESS (status=4)
clutter,10,comppi_k2048,True,False,20.76,0.244,7.36,0.65,,,0.0086,0.395,RESULT: SUCCESS (status=4)
clutter,10,comppi_t48,True,False,25.46,0.248,7.37,0.6,,,0.0077,0.398,RESULT: SUCCESS (status=4)
clutter,11,comppi,True,False,21.26,0.248,7.39,0.25,,,0.0081,0.396,RESULT: SUCCESS (status=4)
clutter,11,comppi_k2048,True,False,20.76,0.247,7.39,0.25,,,0.0083,0.394,RESULT: SUCCESS (status=4)
clutter,11,comppi_t48,True,False,25.86,0.248,7.41,0.3,,,0.0078,0.398,RESULT: SUCCESS (status=4)
clutter,12,comppi,True,False,20.76,0.248,7.39,0.25,,,0.0102,0.397,RESULT: SUCCESS (status=4)
clutter,12,comppi_k2048,True,False,20.66,0.246,7.39,0.25,,,0.0108,0.395,RESULT: SUCCESS (status=4)
clutter,12,comppi_t48,True,False,27.16,0.248,7.41,0.292,,,0.0079,0.397,RESULT: SUCCESS (status=4)
clutter,13,comppi,True,False,21.36,0.247,7.46,0.25,,,0.0084,0.395,RESULT: SUCCESS (status=4)
clutter,13,comppi_k2048,True,False,20.86,0.242,7.46,0.25,,,0.0094,0.395,RESULT: SUCCESS (status=4)
clutter,13,comppi_t48,True,False,25.46,0.248,7.49,0.3,,,0.008,0.399,RESULT: SUCCESS (status=4)
clutter,14,comppi,True,False,21.26,0.246,7.44,0.25,,,0.0081,0.396,RESULT: SUCCESS (status=4)
clutter,14,comppi_k2048,True,False,21.06,0.25,7.44,0.25,,,0.0082,0.394,RESULT: SUCCESS (status=4)
clutter,14,comppi_t48,True,False,25.16,0.248,7.45,0.25,,,0.0078,0.398,RESULT: SUCCESS (status=4)
blocked,0,comppi,True,False,20.86,0.24,7.56,0.269,,,0.0093,0.4,RESULT: SUCCESS (status=4)
blocked,0,comppi_k2048,True,False,20.86,0.242,7.57,0.292,,,0.01,0.4,RESULT: SUCCESS (status=4)
blocked,0,comppi_t48,True,False,25.26,0.248,7.62,0.292,,,0.0072,0.4,RESULT: SUCCESS (status=4)
blocked,1,comppi,True,False,21.26,0.244,7.52,0.292,,,0.008,0.4,RESULT: SUCCESS (status=4)
blocked,1,comppi_k2048,True,False,20.96,0.247,7.5,0.25,,,0.0091,0.4,RESULT: SUCCESS (status=4)
blocked,1,comppi_t48,True,False,27.86,0.248,7.53,0.25,,,0.0084,0.4,RESULT: SUCCESS (status=4)
blocked,2,comppi,True,False,20.66,0.241,7.49,0.25,,,0.0113,0.4,RESULT: SUCCESS (status=4)
blocked,2,comppi_k2048,True,False,20.76,0.25,7.48,0.255,,,0.0087,0.4,RESULT: SUCCESS (status=4)
blocked,2,comppi_t48,True,False,27.76,0.25,7.51,0.292,,,0.0081,0.4,RESULT: SUCCESS (status=4)
blocked,3,comppi,True,False,20.86,0.247,7.51,0.269,,,0.0089,0.4,RESULT: SUCCESS (status=4)
blocked,3,comppi_k2048,True,False,21.06,0.246,7.51,0.25,,,0.0081,0.4,RESULT: SUCCESS (status=4)
blocked,3,comppi_t48,True,False,24.26,0.249,7.53,0.255,,,0.0077,0.4,RESULT: SUCCESS (status=4)
blocked,4,comppi,True,False,21.16,0.249,7.57,0.269,,,0.0079,0.4,RESULT: SUCCESS (status=4)
blocked,4,comppi_k2048,True,False,20.56,0.247,7.53,0.255,,,0.012,0.4,RESULT: SUCCESS (status=4)
blocked,4,comppi_t48,True,False,26.56,0.249,7.58,0.304,,,0.0079,0.4,RESULT: SUCCESS (status=4)
blocked,5,comppi,True,False,20.96,0.244,7.53,0.269,,,0.0084,0.4,RESULT: SUCCESS (status=4)
blocked,5,comppi_k2048,True,False,20.76,0.244,7.53,0.255,,,0.0096,0.4,RESULT: SUCCESS (status=4)
blocked,5,comppi_t48,True,False,25.36,0.247,7.6,0.35,,,0.0091,0.4,RESULT: SUCCESS (status=4)
