t,x,y,yaw,cmd_vx,cmd_wz,scan_min,map_x,map_y
0.0000,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.0104,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.0210,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.0304,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.0473,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.0550,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.0600,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.0696,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.0805,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.0891,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.0989,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.1088,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.1188,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.1288,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.1388,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.1490,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.1589,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.1689,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.1788,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.1888,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.1988,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.2088,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.2193,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.2286,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.2385,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
0.2487,5.6941,-7.2273,0.1201,0.0000,0.0000,nan,nan,nan
