t,x,y,yaw,cmd_vx,cmd_wz,scan_min,map_x,map_y
0.0000,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0000,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0001,5.6428,-7.2753,0.2334,0.0000,0.0000,nan,nan,nan
0.0001,5.6428,-7.2753,0.2334,0.0000,0.0000,nan,nan,nan
0.0001,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0002,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0003,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0067,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0164,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0259,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0352,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0457,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0551,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0642,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0744,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.0855,5.6428,-7.2753,0.2334,0.0000,0.0000,nan,nan,nan
0.0946,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.1050,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.1151,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.1241,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.1341,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.1441,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.1541,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.1640,5.6428,-7.2753,0.2334,0.0000,0.0000,nan,nan,nan
0.1740,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.1839,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.1939,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.2039,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.2165,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.2239,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.2338,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.2473,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.2538,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.2641,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.2745,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.2843,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.2939,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.3038,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.3140,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.3241,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.3368,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.3441,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.3540,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.3641,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.3743,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.3843,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.3949,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.4058,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.4142,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.4241,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.4349,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.4442,5.6427,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
0.4539,5.6428,-7.2754,0.2334,0.0000,0.0000,nan,nan,nan
