bag,course,controller,success,collision,goal_err,ttg,rot_s,path_len,cruise,cruise_p90,min_clear,accel_rms,rms_dv,cmd_jitter,cmd_out_jitter,stall_frac,duration
corridor__dwb__t1,corridor,dwb,True,False,0.3,31.09,7.02,9.29,0.332,0.38,0.638,1.4566,0.0156,0.04853,0.01073,0.1784,52.89
corridor__dwb__t10,corridor,dwb,True,False,0.304,29.06,6.33,9.28,0.353,0.385,0.689,1.3209,0.013,0.04089,0.01011,0.0116,44.07
corridor__dwb__t11,corridor,dwb,True,False,0.3,30.58,6.33,9.37,0.347,0.385,0.63,1.3562,0.0168,0.05404,0.01015,0.0062,44.28
corridor__dwb__t12,corridor,dwb,True,False,0.255,30.56,6.73,9.26,0.343,0.385,0.632,1.2457,0.0154,0.0482,0.0102,0.0088,47.36
corridor__dwb__t13,corridor,dwb,True,False,0.304,30.47,6.21,9.25,0.342,0.384,0.638,1.4986,0.0172,0.05409,0.01031,0.0088,49.46
corridor__dwb__t14,corridor,dwb,True,False,0.3,31.58,7.01,9.25,0.329,0.379,0.64,1.4253,0.0144,0.04499,0.01035,0.007,42.85
corridor__dwb__t15,corridor,dwb,True,False,0.304,29.67,7.02,9.27,0.35,0.388,0.611,1.5993,0.0157,0.04917,0.01011,0.0103,50.88
corridor__dwb__t16,corridor,dwb,True,False,0.304,31.37,6.13,9.29,0.342,0.383,0.624,1.5159,0.0132,0.04268,0.01013,0.0079,44.41
corridor__dwb__t17,corridor,dwb,True,False,0.304,30.49,6.01,9.27,0.344,0.385,0.626,1.4084,0.0161,0.05117,0.01061,0.0065,65.96
corridor__dwb__t18,corridor,dwb,True,False,0.25,31.08,6.31,9.27,0.338,0.382,0.627,1.3886,0.0159,0.04992,0.01048,0.0093,48.64
corridor__dwb__t19,corridor,dwb,True,False,0.35,31.89,6.21,9.26,0.326,0.378,0.629,1.3023,0.0145,0.04563,0.01016,0.0084,44.04
corridor__dwb__t2,corridor,dwb,True,False,0.255,29.19,6.92,9.31,0.349,0.384,0.706,1.2563,0.016,0.05008,0.0106,0.0058,48.04
corridor__dwb__t20,corridor,dwb,True,False,0.25,30.08,6.1,9.27,0.35,0.387,0.629,1.4138,0.0145,0.0461,0.01008,0.0086,42.71
corridor__dwb__t21,corridor,dwb,True,False,0.255,29.38,5.81,9.25,0.35,0.388,0.657,1.4602,0.0144,0.04543,0.01022,0.0088,43.69
corridor__dwb__t22,corridor,dwb,True,False,0.3,29.97,6.03,9.26,0.347,0.387,0.629,1.6288,0.0129,0.0415,0.0103,0.0099,42.43
corridor__dwb__t23,corridor,dwb,True,False,0.3,30.38,6.21,9.27,0.343,0.385,0.634,1.4427,0.0149,0.04861,0.01018,0.0082,44.51
corridor__dwb__t24,corridor,dwb,True,False,0.3,31.46,5.93,9.26,0.319,0.377,0.685,1.4253,0.017,0.05375,0.01067,0.0095,41.96
corridor__dwb__t25,corridor,dwb,True,False,0.25,31.37,6.83,9.23,0.322,0.38,0.628,1.4636,0.0148,0.0465,0.01047,0.0076,44.42
corridor__dwb__t26,corridor,dwb,True,False,0.304,30.87,7.03,9.26,0.332,0.381,0.651,1.3635,0.0183,0.0575,0.01047,0.0071,42.65
corridor__dwb__t27,corridor,dwb,True,False,0.3,29.98,6.31,9.25,0.347,0.387,0.637,1.5122,0.0128,0.04081,0.0101,0.0086,41.97
corridor__dwb__t28,corridor,dwb,True,False,0.304,30.87,5.9,9.26,0.341,0.383,0.636,1.4206,0.0163,0.05158,0.01033,0.009,43.9
corridor__dwb__t29,corridor,dwb,True,False,0.304,30.19,6.32,9.3,0.346,0.381,0.636,1.4037,0.0152,0.04746,0.01026,0.1654,45.6
