world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,0,comppi_iid_a05r4,True,False,100.26,0.247,7.36,1.1,,,0.0041,0.089,RESULT: SUCCESS (status=4)
open,0,comppi_iid_a10r4,True,False,36.78,0.244,7.36,1.1,,,0.0142,0.265,RESULT: SUCCESS (status=4)
open,1,comppi_iid_a05r4,True,False,100.46,0.245,7.36,1.1,,,0.0042,0.088,RESULT: SUCCESS (status=4)
open,1,comppi_iid_a10r4,True,False,38.26,0.249,7.35,1.1,,,0.0126,0.252,RESULT: SUCCESS (status=4)
open,2,comppi_iid_a05r4,True,False,101.06,0.25,7.35,1.1,,,0.0042,0.098,RESULT: SUCCESS (status=4)
open,2,comppi_iid_a10r4,True,False,37.06,0.243,7.36,1.1,,,0.0134,0.26,RESULT: SUCCESS (status=4)
open,3,comppi_iid_a05r4,True,False,99.86,0.25,7.35,1.1,,,0.0042,0.098,RESULT: SUCCESS (status=4)
open,3,comppi_iid_a10r4,True,False,38.06,0.241,7.36,1.1,,,0.0137,0.269,RESULT: SUCCESS (status=4)
open,4,comppi_iid_a05r4,True,False,99.86,0.243,7.36,1.1,,,0.0043,0.091,RESULT: SUCCESS (status=4)
open,4,comppi_iid_a10r4,True,False,38.66,0.248,7.35,1.1,,,0.0128,0.241,RESULT: SUCCESS (status=4)
open,5,comppi_iid_a05r4,True,False,101.48,0.244,7.36,1.1,,,0.0038,0.087,RESULT: SUCCESS (status=4)
open,5,comppi_iid_a10r4,True,False,37.86,0.243,7.36,1.1,,,0.0128,0.26,RESULT: SUCCESS (status=4)
open,6,comppi_iid_a05r4,True,False,100.86,0.247,7.36,1.1,,,0.0042,0.09,RESULT: SUCCESS (status=4)
open,6,comppi_iid_a10r4,True,False,37.26,0.247,7.35,1.1,,,0.0129,0.264,RESULT: SUCCESS (status=4)
open,7,comppi_iid_a05r4,True,False,100.26,0.243,7.36,1.1,,,0.0043,0.089,RESULT: SUCCESS (status=4)
open,7,comppi_iid_a10r4,True,False,38.06,0.246,7.36,1.1,,,0.0134,0.292,RESULT: SUCCESS (status=4)
open,8,comppi_iid_a05r4,True,False,100.16,0.247,7.36,1.1,,,0.0042,0.089,RESULT: SUCCESS (status=4)
open,8,comppi_iid_a10r4,True,False,38.46,0.249,7.35,1.1,,,0.0129,0.269,RESULT: SUCCESS (status=4)
open,9,comppi_iid_a05r4,True,False,100.58,0.249,7.35,1.1,,,0.004,0.09,RESULT: SUCCESS (status=4)
open,9,comppi_iid_a10r4,True,False,37.76,0.242,7.36,1.1,,,0.0129,0.255,RESULT: SUCCESS (status=4)
open,10,comppi_iid_a05r4,True,False,100.46,0.247,7.36,1.1,,,0.0041,0.093,RESULT: SUCCESS (status=4)
open,10,comppi_iid_a10r4,True,False,37.56,0.245,7.36,1.1,,,0.0125,0.295,RESULT: SUCCESS (status=4)
open,11,comppi_iid_a05r4,True,False,101.06,0.245,7.36,1.1,,,0.0041,0.089,RESULT: SUCCESS (status=4)
open,11,comppi_iid_a10r4,True,False,37.36,0.245,7.36,1.1,,,0.0129,0.281,RESULT: SUCCESS (status=4)
open,12,comppi_iid_a05r4,True,False,100.56,0.249,7.35,1.1,,,0.0041,0.091,RESULT: SUCCESS (status=4)
open,12,comppi_iid_a10r4,True,False,37.86,0.241,7.36,1.1,,,0.0123,0.251,RESULT: SUCCESS (status=4)
open,13,comppi_iid_a05r4,True,False,100.56,0.247,7.36,1.1,,,0.0042,0.11,RESULT: SUCCESS (status=4)
open,13,comppi_iid_a10r4,True,False,37.98,0.244,7.36,1.1,,,0.013,0.266,RESULT: SUCCESS (status=4)
open,14,comppi_iid_a05r4,True,False,100.56,0.248,7.35,1.1,,,0.0043,0.091,RESULT: SUCCESS (status=4)
open,14,comppi_iid_a10r4,True,False,36.96,0.247,7.36,1.1,,,0.0125,0.3,RESULT: SUCCESS (status=4)
