world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,0,comppi_iid_l015,True,False,28.56,0.231,7.38,1.1,,,0.0214,0.392,RESULT: SUCCESS (status=4)
open,0,comppi_iid_l020,False,False,9.96,7.222,0.38,1.1,,,0.0041,0.05,RESULT: FAILURE (status=6)
open,0,comppi_iid_l025,False,False,9.96,7.273,0.33,1.1,,,0.0033,0.039,RESULT: FAILURE (status=6)
open,0,comppi_iid_l030,False,False,9.96,7.287,0.31,1.1,,,0.0028,0.036,RESULT: FAILURE (status=6)
open,0,comppi_iid,False,False,9.96,7.302,0.3,1.1,,,0.0029,0.034,RESULT: FAILURE (status=6)
open,0,comppi_iid_l010,True,False,23.66,0.244,7.38,1.1,,,0.0235,0.4,RESULT: SUCCESS (status=4)
open,1,comppi_iid_l015,True,False,24.86,0.234,7.39,1.1,,,0.0235,0.4,RESULT: SUCCESS (status=4)
open,1,comppi_iid_l020,False,False,9.96,7.223,0.38,1.1,,,0.0043,0.052,RESULT: FAILURE (status=6)
open,1,comppi_iid_l025,False,False,9.96,7.263,0.34,1.1,,,0.0032,0.041,RESULT: FAILURE (status=6)
open,1,comppi_iid_l030,False,False,9.96,7.293,0.31,1.1,,,0.0027,0.035,RESULT: FAILURE (status=6)
open,1,comppi_iid,False,False,9.96,7.305,0.29,1.1,,,0.0028,0.033,RESULT: FAILURE (status=6)
open,1,comppi_iid_l010,True,False,26.16,0.237,7.38,1.1,,,0.0267,0.399,RESULT: SUCCESS (status=4)
open,2,comppi_iid_l015,True,False,26.08,0.236,7.39,1.1,,,0.0215,0.398,RESULT: SUCCESS (status=4)
open,2,comppi_iid_l020,False,False,9.96,7.218,0.38,1.1,,,0.0042,0.052,RESULT: FAILURE (status=6)
open,2,comppi_iid_l025,False,False,10.06,7.268,0.33,1.1,,,0.0031,0.039,RESULT: FAILURE (status=6)
open,2,comppi_iid_l030,False,False,9.96,7.292,0.31,1.1,,,0.003,0.036,RESULT: FAILURE (status=6)
open,2,comppi_iid,False,False,9.96,7.299,0.3,1.1,,,0.0026,0.034,RESULT: FAILURE (status=6)
open,2,comppi_iid_l010,True,False,24.96,0.236,7.38,1.1,,,0.0243,0.4,RESULT: SUCCESS (status=4)
open,3,comppi_iid_l015,True,False,26.16,0.238,7.38,1.1,,,0.0236,0.392,RESULT: SUCCESS (status=4)
open,3,comppi_iid_l020,False,False,9.96,7.207,0.39,1.1,,,0.0044,0.056,RESULT: FAILURE (status=6)
open,3,comppi_iid_l025,False,False,9.98,7.267,0.33,1.1,,,0.0031,0.039,RESULT: FAILURE (status=6)
open,3,comppi_iid_l030,False,False,9.96,7.285,0.32,1.1,,,0.0029,0.037,RESULT: FAILURE (status=6)
open,3,comppi_iid,False,False,9.96,7.303,0.3,1.1,,,0.0026,0.035,RESULT: FAILURE (status=6)
open,3,comppi_iid_l010,True,False,24.26,0.229,7.39,1.1,,,0.026,0.4,RESULT: SUCCESS (status=4)
open,4,comppi_iid_l015,True,False,27.46,0.226,7.39,1.1,,,0.0244,0.394,RESULT: SUCCESS (status=4)
open,4,comppi_iid_l020,False,False,9.96,7.209,0.39,1.1,,,0.0057,0.08,RESULT: FAILURE (status=6)
open,4,comppi_iid_l025,False,False,9.96,7.263,0.34,1.1,,,0.0034,0.04,RESULT: FAILURE (status=6)
open,4,comppi_iid_l030,False,False,10.06,7.285,0.32,1.1,,,0.0028,0.037,RESULT: FAILURE (status=6)
open,4,comppi_iid,False,False,9.96,7.304,0.3,1.1,,,0.0027,0.033,RESULT: FAILURE (status=6)
open,4,comppi_iid_l010,True,False,25.66,0.227,7.41,1.1,,,0.0259,0.4,RESULT: SUCCESS (status=4)
open,5,comppi_iid_l015,True,False,24.36,0.244,7.38,1.1,,,0.0233,0.399,RESULT: SUCCESS (status=4)
open,5,comppi_iid_l020,False,False,9.96,7.19,0.41,1.1,,,0.0047,0.072,RESULT: FAILURE (status=6)
open,5,comppi_iid_l025,False,False,9.96,7.27,0.33,1.1,,,0.0031,0.04,RESULT: FAILURE (status=6)
open,5,comppi_iid_l030,False,False,9.96,7.296,0.3,1.1,,,0.0026,0.036,RESULT: FAILURE (status=6)
open,5,comppi_iid,False,False,9.96,7.302,0.3,1.1,,,0.0026,0.034,RESULT: FAILURE (status=6)
