world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
open,0,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0166,0.404,RESULT: SUCCESS (status=4)
open,1,mppi_tuned,True,False,19.18,0.232,7.37,1.1,0.0154,0.405,RESULT: SUCCESS (status=4)
open,2,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0153,0.404,RESULT: SUCCESS (status=4)
open,3,mppi_tuned,True,False,19.18,0.228,7.37,1.1,0.0153,0.404,RESULT: SUCCESS (status=4)
open,4,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0153,0.404,RESULT: SUCCESS (status=4)
open,5,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0153,0.404,RESULT: SUCCESS (status=4)
open,6,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0153,0.404,RESULT: SUCCESS (status=4)
open,7,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0153,0.404,RESULT: SUCCESS (status=4)
open,8,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0166,0.404,RESULT: SUCCESS (status=4)
open,9,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0153,0.404,RESULT: SUCCESS (status=4)
open,10,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0153,0.404,RESULT: SUCCESS (status=4)
open,11,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0153,0.404,RESULT: SUCCESS (status=4)
open,12,mppi_tuned,True,False,19.18,0.232,7.37,1.1,0.0154,0.405,RESULT: SUCCESS (status=4)
open,13,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0166,0.404,RESULT: SUCCESS (status=4)
open,14,mppi_tuned,True,False,19.16,0.236,7.37,1.1,0.0154,0.404,RESULT: SUCCESS (status=4)
clutter,0,mppi_tuned,True,False,20.36,0.235,7.41,0.35,0.0158,0.404,RESULT: SUCCESS (status=4)
clutter,1,mppi_tuned,True,False,20.26,0.248,7.45,0.354,0.0157,0.405,RESULT: SUCCESS (status=4)
clutter,2,mppi_tuned,True,False,21.36,0.248,7.65,0.335,0.0159,0.404,RESULT: SUCCESS (status=4)
clutter,3,mppi_tuned,False,False,22.66,3.859,3.83,0.4,0.0097,0.4,RESULT: FAILURE (status=6)
clutter,4,mppi_tuned,False,False,21.66,3.878,3.79,0.427,0.0091,0.4,RESULT: FAILURE (status=6)
clutter,5,mppi_tuned,True,False,19.26,0.237,7.37,0.45,0.0154,0.404,RESULT: SUCCESS (status=4)
clutter,6,mppi_tuned,True,False,20.26,0.248,7.43,0.35,0.0158,0.404,RESULT: SUCCESS (status=4)
clutter,7,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0153,0.404,RESULT: SUCCESS (status=4)
clutter,8,mppi_tuned,True,False,19.16,0.232,7.37,1.05,0.0153,0.404,RESULT: SUCCESS (status=4)
clutter,9,mppi_tuned,True,False,20.16,0.25,7.41,0.35,0.0154,0.404,RESULT: SUCCESS (status=4)
clutter,10,mppi_tuned,True,False,19.16,0.232,7.37,0.9,0.0153,0.404,RESULT: SUCCESS (status=4)
clutter,11,mppi_tuned,True,False,20.46,0.245,7.44,0.35,0.0157,0.404,RESULT: SUCCESS (status=4)
clutter,12,mppi_tuned,True,False,19.16,0.232,7.37,1.1,0.0166,0.404,RESULT: SUCCESS (status=4)
clutter,13,mppi_tuned,False,False,21.66,3.837,3.83,0.412,0.0093,0.4,RESULT: FAILURE (status=6)
clutter,14,mppi_tuned,True,False,19.16,0.23,7.37,0.65,0.0152,0.404,RESULT: SUCCESS (status=4)
gap,0,mppi_tuned,True,False,21.86,0.247,7.95,0.35,0.0156,0.404,RESULT: SUCCESS (status=4)
gap,1,mppi_tuned,True,False,20.66,0.239,7.54,0.35,0.0168,0.405,RESULT: SUCCESS (status=4)
