world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
blocked,0,mppi_align001,False,False,20.36,3.529,4.11,0.35,,,0.0095,0.403,RESULT: FAILURE (status=6)
blocked,0,mppi_align001_t01,True,False,22.36,0.232,7.73,0.25,,,0.0191,0.409,RESULT: SUCCESS (status=4)
blocked,0,mppi_t01,True,False,22.36,0.232,7.73,0.25,,,0.0191,0.409,RESULT: SUCCESS (status=4)
blocked,1,mppi_align001,False,False,18.76,5.919,1.73,0.35,,,0.0098,0.403,RESULT: FAILURE (status=6)
blocked,1,mppi_align001_t01,True,False,23.76,0.248,7.67,0.25,,,0.0193,0.407,RESULT: SUCCESS (status=4)
blocked,1,mppi_t01,True,False,23.76,0.248,7.67,0.25,,,0.0193,0.407,RESULT: SUCCESS (status=4)
blocked,2,mppi_align001,True,False,27.56,0.242,7.67,0.269,,,0.0144,0.403,RESULT: SUCCESS (status=4)
blocked,2,mppi_align001_t01,False,False,22.56,3.193,4.49,0.3,,,0.0167,0.409,RESULT: FAILURE (status=6)
blocked,2,mppi_t01,False,False,22.56,3.193,4.49,0.3,,,0.0168,0.409,RESULT: FAILURE (status=6)
blocked,3,mppi_align001,False,False,21.96,3.076,4.57,0.35,,,0.0094,0.403,RESULT: FAILURE (status=6)
blocked,3,mppi_align001_t01,True,False,24.66,0.238,7.61,0.224,,,0.0198,0.409,RESULT: SUCCESS (status=4)
blocked,3,mppi_t01,True,False,24.66,0.239,7.61,0.224,,,0.0207,0.409,RESULT: SUCCESS (status=4)
blocked,4,mppi_align001,True,False,35.76,0.247,8.07,0.269,,,0.0142,0.405,RESULT: SUCCESS (status=4)
blocked,4,mppi_align001_t01,True,False,25.46,0.235,7.72,0.25,,,0.0191,0.409,RESULT: SUCCESS (status=4)
blocked,4,mppi_t01,False,False,17.76,4.662,3.03,0.35,,,0.0165,0.409,RESULT: FAILURE (status=6)
blocked,5,mppi_align001,False,False,23.26,2.527,5.12,0.35,,,0.0092,0.403,RESULT: FAILURE (status=6)
blocked,5,mppi_align001_t01,True,False,22.96,0.24,7.68,0.25,,,0.0203,0.409,RESULT: SUCCESS (status=4)
blocked,5,mppi_t01,True,False,24.56,0.243,7.75,0.25,,,0.0185,0.409,RESULT: SUCCESS (status=4)
