world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,0,mppi_t01,True,False,18.96,0.244,7.36,1.1,,,0.0173,0.409,RESULT: SUCCESS (status=4)
open,1,mppi_t01,True,False,18.96,0.244,7.36,1.1,,,0.0173,0.409,RESULT: SUCCESS (status=4)
open,2,mppi_t01,True,False,18.96,0.244,7.36,1.1,,,0.0173,0.409,RESULT: SUCCESS (status=4)
open,3,mppi_t01,True,False,18.96,0.245,7.36,1.1,,,0.0185,0.409,RESULT: SUCCESS (status=4)
open,4,mppi_t01,True,False,18.96,0.245,7.36,1.1,,,0.0174,0.409,RESULT: SUCCESS (status=4)
open,5,mppi_t01,True,False,18.96,0.244,7.36,1.1,,,0.0173,0.409,RESULT: SUCCESS (status=4)
open,6,mppi_t01,True,False,18.96,0.245,7.36,1.1,,,0.0172,0.409,RESULT: SUCCESS (status=4)
open,7,mppi_t01,True,False,18.96,0.244,7.36,1.1,,,0.0186,0.409,RESULT: SUCCESS (status=4)
open,8,mppi_t01,True,False,18.98,0.243,7.36,1.1,,,0.017,0.409,RESULT: SUCCESS (status=4)
open,9,mppi_t01,True,False,18.96,0.245,7.36,1.1,,,0.0172,0.409,RESULT: SUCCESS (status=4)
open,10,mppi_t01,True,False,18.96,0.244,7.36,1.1,,,0.0173,0.409,RESULT: SUCCESS (status=4)
open,11,mppi_t01,True,False,18.96,0.244,7.36,1.1,,,0.0173,0.409,RESULT: SUCCESS (status=4)
open,12,mppi_t01,True,False,18.96,0.244,7.36,1.1,,,0.0173,0.409,RESULT: SUCCESS (status=4)
open,13,mppi_t01,True,False,18.96,0.244,7.36,1.1,,,0.0173,0.409,RESULT: SUCCESS (status=4)
open,14,mppi_t01,True,False,18.96,0.244,7.36,1.1,,,0.0187,0.409,RESULT: SUCCESS (status=4)
