world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
open,0,comppi,True,False,20.46,0.244,7.36,1.1,0.0107,0.395,RESULT: SUCCESS (status=4)
open,0,comppi_iid,False,False,9.98,7.304,0.3,1.1,0.0026,0.034,RESULT: FAILURE (status=6)
open,0,comppi_colored,True,False,20.96,0.249,7.36,1.1,0.0084,0.398,RESULT: SUCCESS (status=4)
open,1,comppi,True,False,20.66,0.249,7.36,1.1,0.0098,0.396,RESULT: SUCCESS (status=4)
open,1,comppi_iid,False,False,9.96,7.303,0.3,1.1,0.0027,0.034,RESULT: FAILURE (status=6)
open,1,comppi_colored,True,False,20.36,0.239,7.37,1.1,0.0116,0.398,RESULT: SUCCESS (status=4)
open,2,comppi,True,False,20.76,0.246,7.36,1.1,0.0091,0.397,RESULT: SUCCESS (status=4)
open,2,comppi_iid,False,False,9.96,7.302,0.3,1.1,0.0027,0.034,RESULT: FAILURE (status=6)
open,2,comppi_colored,True,False,21.16,0.246,7.36,1.1,0.0087,0.398,RESULT: SUCCESS (status=4)
open,3,comppi,True,False,20.66,0.249,7.35,1.1,0.0096,0.395,RESULT: SUCCESS (status=4)
open,3,comppi_iid,False,False,9.96,7.298,0.3,1.1,0.0027,0.034,RESULT: FAILURE (status=6)
open,3,comppi_colored,True,False,21.26,0.246,7.37,1.1,0.0084,0.398,RESULT: SUCCESS (status=4)
open,4,comppi,True,False,20.76,0.249,7.35,1.1,0.0096,0.395,RESULT: SUCCESS (status=4)
open,4,comppi_iid,False,False,9.96,7.305,0.29,1.1,0.0027,0.033,RESULT: FAILURE (status=6)
open,4,comppi_colored,True,False,21.16,0.249,7.36,1.1,0.0087,0.398,RESULT: SUCCESS (status=4)
open,5,comppi,True,False,20.66,0.244,7.36,1.1,0.0094,0.394,RESULT: SUCCESS (status=4)
open,5,comppi_iid,False,False,9.96,7.301,0.3,1.1,0.0026,0.034,RESULT: FAILURE (status=6)
open,5,comppi_colored,True,False,20.46,0.243,7.36,1.1,0.0096,0.398,RESULT: SUCCESS (status=4)
open,6,comppi,True,False,20.76,0.242,7.36,1.1,0.009,0.395,RESULT: SUCCESS (status=4)
open,6,comppi_iid,False,False,9.96,7.299,0.3,1.1,0.0027,0.034,RESULT: FAILURE (status=6)
open,6,comppi_colored,True,False,20.66,0.25,7.36,1.1,0.0101,0.398,RESULT: SUCCESS (status=4)
open,7,comppi,True,False,20.76,0.245,7.36,1.1,0.0089,0.394,RESULT: SUCCESS (status=4)
open,7,comppi_iid,False,False,9.96,7.305,0.29,1.1,0.0026,0.035,RESULT: FAILURE (status=6)
open,7,comppi_colored,True,False,20.36,0.247,7.36,1.1,0.0104,0.398,RESULT: SUCCESS (status=4)
open,8,comppi,True,False,20.96,0.25,7.35,1.1,0.0086,0.395,RESULT: SUCCESS (status=4)
open,8,comppi_iid,False,False,9.96,7.298,0.3,1.1,0.0027,0.034,RESULT: FAILURE (status=6)
open,8,comppi_colored,True,False,20.86,0.245,7.36,1.1,0.008,0.398,RESULT: SUCCESS (status=4)
open,9,comppi,True,False,20.68,0.246,7.36,1.1,0.0095,0.395,RESULT: SUCCESS (status=4)
open,9,comppi_iid,False,False,9.96,7.298,0.3,1.1,0.0026,0.035,RESULT: FAILURE (status=6)
open,9,comppi_colored,True,False,20.84,0.247,7.36,1.1,0.0085,0.398,RESULT: SUCCESS (status=4)
open,10,comppi,True,False,21.56,0.246,7.36,1.1,0.008,0.396,RESULT: SUCCESS (status=4)
