world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
blocked_sym,0,comppi_rho010,True,False,21.16,0.243,7.57,0.255,,,0.01,0.4,RESULT: SUCCESS (status=4)
blocked_sym,0,comppi,True,False,21.36,0.249,7.57,0.255,,,0.0089,0.4,RESULT: SUCCESS (status=4)
blocked_sym,0,comppi_rho050,True,False,21.36,0.246,7.57,0.269,,,0.0085,0.399,RESULT: SUCCESS (status=4)
blocked_sym,0,comppi_noanneal,False,False,21.86,3.071,4.56,0.35,,,0.0065,0.393,RESULT: FAILURE (status=6)
blocked_sym,1,comppi_rho010,True,False,21.18,0.249,7.55,0.269,,,0.009,0.4,RESULT: SUCCESS (status=4)
blocked_sym,1,comppi,True,False,21.36,0.248,7.56,0.269,,,0.0081,0.4,RESULT: SUCCESS (status=4)
blocked_sym,1,comppi_rho050,True,False,21.66,0.246,7.57,0.255,,,0.0083,0.399,RESULT: SUCCESS (status=4)
blocked_sym,1,comppi_noanneal,True,False,35.06,0.248,7.77,0.25,,,0.0081,0.396,RESULT: SUCCESS (status=4)
blocked_sym,2,comppi_rho010,True,False,21.26,0.249,7.55,0.25,,,0.0097,0.4,RESULT: SUCCESS (status=4)
blocked_sym,2,comppi,True,False,22.16,0.247,7.56,0.269,,,0.0077,0.4,RESULT: SUCCESS (status=4)
blocked_sym,2,comppi_rho050,False,False,19.56,4.942,2.66,0.3,,,0.0067,0.395,RESULT: FAILURE (status=6)
blocked_sym,2,comppi_noanneal,False,False,20.26,4.897,2.97,0.269,,,0.0201,0.393,RESULT: FAILURE (status=6)
blocked_sym,3,comppi_rho010,True,False,20.86,0.24,7.55,0.25,,,0.0103,0.4,RESULT: SUCCESS (status=4)
blocked_sym,3,comppi,True,False,20.86,0.248,7.56,0.269,,,0.0109,0.4,RESULT: SUCCESS (status=4)
blocked_sym,3,comppi_rho050,False,False,21.96,3.154,4.45,0.35,,,0.0065,0.395,RESULT: FAILURE (status=6)
blocked_sym,3,comppi_noanneal,False,False,21.86,3.165,4.45,0.35,,,0.0065,0.394,RESULT: FAILURE (status=6)
blocked_sym,4,comppi_rho010,True,False,20.96,0.247,7.55,0.255,,,0.0097,0.4,RESULT: SUCCESS (status=4)
blocked_sym,4,comppi,True,False,21.26,0.242,7.56,0.25,,,0.0096,0.4,RESULT: SUCCESS (status=4)
blocked_sym,4,comppi_rho050,True,False,21.68,0.249,7.61,0.269,,,0.0096,0.398,RESULT: SUCCESS (status=4)
blocked_sym,4,comppi_noanneal,True,False,32.96,0.25,7.78,0.25,,,0.0087,0.397,RESULT: SUCCESS (status=4)
blocked_sym,5,comppi_rho010,True,False,21.46,0.245,7.55,0.269,,,0.008,0.4,RESULT: SUCCESS (status=4)
blocked_sym,5,comppi,True,False,21.66,0.248,7.55,0.255,,,0.0077,0.4,RESULT: SUCCESS (status=4)
blocked_sym,5,comppi_rho050,True,False,21.16,0.239,7.58,0.269,,,0.0108,0.4,RESULT: SUCCESS (status=4)
blocked_sym,5,comppi_noanneal,False,False,21.66,4.94,2.76,0.3,,,0.0078,0.394,RESULT: FAILURE (status=6)
blocked_sym,6,comppi_rho010,True,False,21.26,0.245,7.54,0.224,,,0.0086,0.4,RESULT: SUCCESS (status=4)
blocked_sym,6,comppi,True,False,21.16,0.246,7.59,0.292,,,0.01,0.4,RESULT: SUCCESS (status=4)
