# cycle=0 lambda_eff=0.35 lambda=0.35 blocked_idx=25 lookahead_idx=41 la_x=6.7 la_y=5
k,cost,w_sharp,w_plain,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31
0,5.41735,0.0223121,0.0223121,4.69326,4.73108,4.76891,4.80675,4.84451,4.8822,4.91938,4.95611,4.99279,5.02993,5.06734,5.10489,5.14248,5.18009,5.21737,5.25437,5.29142,5.32894,5.36672,5.40466,5.44265,5.48081,5.51784,5.55334,5.58784,5.62271,5.65777,5.69298,5.72826,5.76356,5.79884,5.83408,5.00377,5.00309,5.00275,5.0027,5.00283,5.00298,5.00304,5.00296,5.0027,5.00222,5.00154,5.00076,5.00001,4.99944,4.99923,4.99948,5.00017,5.00123,5.00253,5.00396,5.00546,5.00691,5.00816,5.0091,5.00964,5.00968,5.00917,5.00811,5.00649,5.00432,5.00159,4.9983
4,6.71628,0.000545479,0.000545479,4.69535,4.73518,4.77486,4.81434,4.85355,4.8924,4.93078,4.96859,5.00573,5.04207,5.07754,5.11211,5.14577,5.17856,5.21053,5.24172,5.27287,5.30457,5.33674,5.3693,5.4022,5.43537,5.46875,5.50225,5.53582,5.56938,5.60291,5.6364,5.66986,5.70327,5.73665,5.76998,5.00241,4.99869,4.99363,4.9872,4.9793,4.96976,4.95849,4.94545,4.93058,4.91387,4.89539,4.87527,4.85366,4.83075,4.80671,4.78167,4.75656,4.73217,4.7084,4.68517,4.66242,4.64007,4.61802,4.59617,4.57442,4.55266,4.53084,4.50897,4.48704,4.46505,4.44301,4.4209
8,8.20552,7.74223e-06,7.74223e-06,4.68338,4.70604,4.72854,4.7508,4.77266,4.79401,4.81434,4.83365,4.85475,4.87795,4.9033,4.93083,4.95962,4.98856,5.01742,5.04628,5.07624,5.10672,5.13748,5.16839,5.19931,5.23031,5.26018,5.28852,5.3084,5.32788,5.34674,5.36485,5.38211,5.39841,5.41366,5.42781,5.00311,5.00052,4.99671,4.99166,4.98535,4.97771,4.9689,4.95896,4.94708,4.93382,4.91929,4.90354,4.88726,4.87122,4.85572,4.84083,4.82569,4.81052,4.7953,4.78002,4.76465,4.74906,4.73374,4.71883,4.70731,4.69446,4.68037,4.66511,4.64873,4.63133,4.61299,4.59378
12,8.1362,9.43807e-06,9.43807e-06,4.69539,4.73534,4.77527,4.81519,4.85507,4.8949,4.93466,4.97432,5.00399,5.02372,5.03355,5.03355,5.03355,5.03355,5.03355,5.03355,5.036,5.04095,5.04842,5.05841,5.07091,5.0859,5.10334,5.12319,5.14546,5.17011,5.19712,5.22646,5.2581,5.292,5.32811,5.3664,5.00308,5.00108,4.99879,4.99618,4.99313,4.98945,4.98504,4.97985,4.97543,4.97212,4.97029,4.97029,4.97029,4.97029,4.97029,4.97029,4.96982,4.96912,4.96844,4.96801,4.96803,4.96869,4.97014,4.97252,4.97577,4.97994,4.98509,4.99134,4.99877,5.00749,5.01759,5.02917
16,11.8488,2.33435e-10,2.33435e-10,4.6954,4.73537,4.77534,4.81531,4.85527,4.89521,4.93512,4.975,5.01473,5.05426,5.09353,5.13251,5.1712,5.2096,5.24773,5.28562,5.32364,5.36177,5.39995,5.43816,5.47637,5.51456,5.55268,5.5907,5.62865,5.6665,5.70422,5.7418,5.77925,5.81656,5.85373,5.89074,5.00333,5.00184,5.00032,4.99872,4.99694,4.99479,4.99215,4.98898,4.98435,4.97821,4.97062,4.96166,4.95149,4.94028,4.92821,4.9154,4.90297,4.89086,4.87894,4.86711,4.85529,4.84338,4.83126,4.81883,4.8062,4.79325,4.77993,4.76625,4.7522,4.73777,4.72298,4.70783
20,10.184,2.71542e-08,2.71542e-08,4.69535,4.73508,4.77433,4.81283,4.85032,4.88644,4.92089,4.95333,4.97655,4.99133,5.00049,5.00927,5.01761,5.02552,5.03284,5.03964,5.04725,5.05546,5.06397,5.07252,5.0808,5.08847,5.09517,5.10049,5.1035,5.10549,5.10795,5.11116,5.11511,5.11979,5.12517,5.13124,5.00241,4.99777,4.99003,4.9792,4.96523,4.94806,4.92772,4.90432,4.88532,4.87185,4.86259,4.85277,4.84253,4.83194,4.82133,4.8107,4.79765,4.78206,4.76384,4.74291,4.7192,4.69268,4.66332,4.63114,4.60873,4.59383,4.57879,4.56374,4.54876,4.53394,4.51934,4.50501
24,9.22624,4.19092e-07,4.19092e-07,4.68342,4.70142,4.70942,4.70942,4.70942,4.70942,4.70942,4.70942,4.71191,4.71691,4.72441,4.7344,4.74667,4.75893,4.77081,4.78239,4.79646,4.81301,4.83206,4.85359,4.8776,4.90408,4.93302,4.96439,4.99207,5.01994,5.04783,5.07565,5.10333,5.1308,5.15799,5.18487,5.00434,5.00442,5.00461,5.00461,5.00461,5.00461,5.00461,5.00461,5.00477,5.0049,5.0048,5.0043,5.00329,5.00192,5.0003,4.99848,4.99639,4.99407,4.9915,4.98864,4.98547,4.9819,4.97784,4.97317,4.96834,4.96263,4.95604,4.94858,4.94026,4.93108,4.92108,4.91026
28,6.13817,0.00284524,0.00284524,4.68914,4.72281,4.75638,4.7898,4.82295,4.8558,4.88791,4.91933,4.95277,4.98813,5.02518,5.06158,5.09721,5.13189,5.16547,5.19776,5.22943,5.26118,5.29373,5.32756,5.36259,5.39876,5.43596,5.47408,5.51278,5.55197,5.59155,5.6314,5.67138,5.71137,5.75123,5.79085,5.0048,5.00629,5.00925,5.01365,5.01936,5.02624,5.03405,5.04274,5.05342,5.06622,5.08129,5.09787,5.11607,5.13599,5.15773,5.18133,5.20578,5.2301,5.25335,5.2747,5.29399,5.31108,5.32577,5.3379,5.34803,5.35602,5.36178,5.3653,5.36656,5.36556,5.3623,5.35679
32,5.60454,0.01307,0.01307,4.6954,4.73538,4.77536,4.81534,4.85532,4.89529,4.93524,4.97517,5.01354,5.05231,5.09126,5.13027,5.16923,5.20816,5.24672,5.285,5.32426,5.36329,5.40203,5.44041,5.47836,5.51578,5.55259,5.58866,5.62413,5.65892,5.69294,5.72615,5.7585,5.78994,5.82043,5.84992,5.00343,5.00214,5.00091,4.99971,4.99841,4.99685,4.99491,4.99252,4.98949,4.98562,4.98097,4.97562,4.96973,4.96346,4.95705,4.9506,4.94296,4.93422,4.92425,4.91298,4.90032,4.88621,4.87054,4.85325,4.83477,4.81503,4.79399,4.77169,4.74817,4.72344,4.69755,4.67052
36,8.45353,3.81179e-06,3.81179e-06,4.69538,4.73532,4.77522,4.81509,4.85492,4.89466,4.93429,4.97378,5.00343,5.02329,5.03327,5.03327,5.03327,5.03327,5.03327,5.03327,5.03565,5.04033,5.04728,5.05642,5.06772,5.08113,5.09661,5.11413,5.13368,5.15524,5.17882,5.20437,5.23186,5.26127,5.29256,5.32571,5.00293,5.00064,4.99792,4.99472,4.99093,4.98639,4.98096,4.97461,4.97003,4.9677,4.96711,4.96711,4.96711,4.96711,4.96711,4.96711,4.96791,4.96965,4.97248,4.97652,4.98186,4.98859,4.99676,5.0064,5.01754,5.03019,5.04435,5.06007,5.0774,5.09638,5.11704,5.13943
