# cycle=0 lambda_eff=0.0875 lambda=0.35 blocked_idx=25 lookahead_idx=41 la_x=6.7 la_y=5
k,cost,w_sharp,w_plain,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31
0,5.51371,0.0586611,0.0147643,4.68708,4.72434,4.76159,4.79886,4.8361,4.87335,4.91016,4.94663,4.98312,5.02009,5.05733,5.09476,5.13223,5.16981,5.20655,5.24237,5.27786,5.31405,5.35059,5.3873,5.42401,5.46066,5.49675,5.53221,5.56738,5.60286,5.63862,5.6745,5.71041,5.74628,5.7821,5.81783,4.98742,4.98772,4.98816,4.98879,4.98964,4.99068,4.99177,4.99273,4.9934,4.99378,4.99392,4.99383,4.99351,4.99295,4.9922,4.99142,4.9908,4.99039,4.99016,4.98996,4.98974,4.98951,4.98943,4.98968,4.99039,4.99165,4.99353,4.99603,4.99915,5.00289,5.00725,5.01222
4,9.89391,1.06612e-23,5.42098e-08,4.67805,4.70628,4.7345,4.76274,4.79096,4.81919,4.84699,4.87444,4.89188,4.90754,4.92329,4.93894,4.95427,4.96924,4.98294,4.99531,4.99912,4.99912,4.99912,4.99912,4.99912,4.99912,4.99912,4.99912,5.00124,5.00556,5.01216,5.02111,5.03246,5.04629,5.06263,5.08152,4.98725,4.98722,4.98718,4.98714,4.98714,4.98716,4.98711,4.98683,4.98599,4.98415,4.98109,4.9768,4.97133,4.96467,4.95731,4.9495,4.94687,4.94687,4.94687,4.94687,4.94687,4.94687,4.94687,4.94687,4.94555,4.94303,4.93946,4.935,4.92977,4.92395,4.91768,4.91113
8,9.07673,1.21284e-19,5.59858e-07,4.67718,4.70167,4.72615,4.75064,4.77511,4.79959,4.82362,4.84732,4.86103,4.86475,4.86865,4.87272,4.87683,4.88104,4.88441,4.88686,4.89178,4.89916,4.90902,4.92133,4.93609,4.95331,4.96997,4.98603,5.00455,5.02553,5.04897,5.07489,5.10327,5.13413,5.1657,5.19728,4.98742,4.98769,4.98811,4.98868,4.98943,4.99035,4.99133,4.99225,4.99241,4.99235,4.99219,4.99191,4.99152,4.99102,4.99053,4.99012,4.9893,4.98807,4.98645,4.98438,4.98182,4.97876,4.97579,4.97301,4.96975,4.96606,4.96196,4.95747,4.9526,4.94735,4.94203,4.93675
12,8.78889,3.25437e-18,1.27422e-06,4.67717,4.69455,4.7058,4.71706,4.7283,4.73953,4.7503,4.76071,4.77356,4.78882,4.80648,4.82651,4.84888,4.87355,4.90051,4.92974,4.96146,4.9957,5.03153,5.0676,5.10371,5.13979,5.17542,5.21055,5.23614,5.25202,5.258,5.25975,5.26155,5.26338,5.2652,5.267,4.98683,4.98628,4.98575,4.98504,4.98418,4.98315,4.98197,4.98058,4.97859,4.97588,4.97237,4.96799,4.96264,4.9562,4.94862,4.93993,4.93083,4.92142,4.91195,4.90266,4.89352,4.88458,4.8761,4.86826,4.86372,4.86183,4.86146,4.86146,4.86156,4.86177,4.86209,4.86251
16,6.98205,3.02318e-09,0.000222455,4.68967,4.72963,4.76954,4.80938,4.84912,4.88874,4.92824,4.96764,4.99725,5.02562,5.0543,5.0832,5.11217,5.14128,5.1696,5.197,5.22648,5.25662,5.28709,5.31771,5.34834,5.3789,5.40888,5.4382,5.4575,5.4725,5.48763,5.50275,5.51773,5.53251,5.54706,5.56133,4.98816,4.98994,4.99262,4.99622,5.00078,5.00627,5.01256,5.01943,5.02428,5.02862,5.03274,5.03663,5.04029,5.04369,5.04676,5.04964,5.0529,5.05646,5.06025,5.06414,5.06805,5.07199,5.07601,5.08026,5.08378,5.08711,5.09111,5.09577,5.10106,5.10695,5.11344,5.12051
20,6.2267,1.69645e-05,0.00192536,4.68601,4.7222,4.75837,4.79453,4.83066,4.86677,4.9024,4.93764,4.97268,5.00803,5.04347,5.07888,5.11409,5.14913,5.18309,5.21592,5.23959,5.2642,5.28941,5.31498,5.34073,5.36654,5.39194,5.4168,5.44418,5.47403,5.50634,5.5411,5.5783,5.61794,5.65758,5.69715,4.98682,4.98593,4.9846,4.98286,4.98073,4.97821,4.9752,4.97152,4.96679,4.96094,4.954,4.94604,4.93706,4.92704,4.91632,4.90509,4.89718,4.88994,4.88354,4.87796,4.87321,4.8693,4.86641,4.86463,4.86299,4.8608,4.85802,4.85461,4.85051,4.84566,4.84033,4.83452
24,7.8825,1.02607e-13,1.69794e-05,4.67717,4.70126,4.72531,4.74932,4.77325,4.7971,4.82045,4.8434,4.86856,4.89423,4.91975,4.94498,4.9697,4.99391,5.01673,5.03799,5.06093,5.08599,5.11359,5.14385,5.17687,5.21219,5.24801,5.28421,5.31431,5.34414,5.37309,5.40066,5.42657,5.45063,5.47268,5.49255,4.98791,4.98906,4.99077,4.99307,4.99598,4.9995,5.00344,5.0077,5.01359,5.02092,5.02963,5.03969,5.05104,5.06367,5.0771,5.09127,5.10743,5.12492,5.14311,5.16177,5.18069,5.19947,5.21728,5.23429,5.24871,5.26441,5.28224,5.30244,5.32481,5.34921,5.37546,5.40339
28,6.09822,7.36562e-05,0.00277926,4.68966,4.72954,4.76917,4.80845,4.84728,4.88553,4.92305,4.95963,4.98805,5.01686,5.04629,5.07661,5.10772,5.13952,5.17094,5.20173,5.2351,5.27099,5.30933,5.34919,5.3889,5.42841,5.46763,5.50646,5.53546,5.56205,5.58887,5.61581,5.64276,5.66968,5.69656,5.72339,4.98625,4.98304,4.97765,4.97011,4.96049,4.9488,4.93493,4.91874,4.90503,4.89103,4.87771,4.86603,4.8565,4.84913,4.84417,4.84166,4.84045,4.84068,4.8425,4.84591,4.85072,4.85697,4.86481,4.87442,4.88208,4.88924,4.89665,4.90429,4.91213,4.92015,4.92836,4.93675
32,7.19654,2.60526e-10,0.000120528,4.68968,4.72968,4.76968,4.80968,4.84968,4.88968,4.92967,4.96967,4.99967,5.01965,5.03003,5.04055,5.05107,5.06164,5.07132,5.08002,5.0911,5.1046,5.12052,5.13889,5.15972,5.18302,5.20877,5.23694,5.26743,5.30019,5.33518,5.37237,5.41029,5.44797,5.48539,5.52255,4.9872,4.98707,4.98687,4.98665,4.98642,4.98619,4.9858,4.98503,4.98508,4.9858,4.98653,4.98766,4.98917,4.99108,4.99319,4.99546,4.99849,5.00215,5.00643,5.01124,5.0165,5.02221,5.02841,5.03524,5.0431,5.05214,5.06247,5.07419,5.08693,5.10035,5.11447,5.12927
36,5.83408,0.00150743,0.00591134,4.68968,4.72967,4.76965,4.80963,4.84959,4.88954,4.92946,4.96934,4.99927,5.02504,5.05111,5.07737,5.10368,5.13008,5.15562,5.18021,5.20729,5.23689,5.26902,5.30366,5.34082,5.38049,5.42048,5.46046,5.49754,5.53492,5.57243,5.60978,5.64673,5.68308,5.71868,5.75337,4.9869,4.98617,4.98507,4.98364,4.98191,4.97987,4.97738,4.97421,4.97223,4.971,4.97028,4.9701,4.97045,4.97133,4.97273,4.9747,4.97675,4.97862,4.98021,4.98133,4.9818,4.98158,4.98077,4.97958,4.97925,4.9808,4.98473,4.99104,4.9997,5.01069,5.02395,5.03943
