world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,min_dyn_clear,min_dyn_clear_any,rms_dv,vmax,note
open,0,comppi_iid_s003,False,False,9.88,7.369,0.23,1.1,,,0.0021,0.026,RESULT: FAILURE (status=6)
open,0,comppi_iid_s005,False,False,9.96,7.341,0.26,1.1,,,0.0023,0.029,RESULT: FAILURE (status=6)
open,0,comppi_iid_s010,False,False,9.96,7.317,0.28,1.1,,,0.0025,0.032,RESULT: FAILURE (status=6)
open,0,comppi_iid_s020,False,False,9.94,7.3,0.3,1.1,,,0.0028,0.034,RESULT: FAILURE (status=6)
open,0,comppi_iid_s030,False,False,9.96,7.296,0.3,1.1,,,0.0031,0.036,RESULT: FAILURE (status=6)
open,1,comppi_iid_s003,False,False,9.96,7.368,0.23,1.1,,,0.0021,0.027,RESULT: FAILURE (status=6)
open,1,comppi_iid_s005,False,False,9.96,7.341,0.26,1.1,,,0.0021,0.03,RESULT: FAILURE (status=6)
open,1,comppi_iid_s010,False,False,9.96,7.316,0.28,1.1,,,0.0028,0.032,RESULT: FAILURE (status=6)
open,1,comppi_iid_s020,False,False,9.96,7.305,0.29,1.1,,,0.0027,0.033,RESULT: FAILURE (status=6)
open,1,comppi_iid_s030,False,False,9.96,7.294,0.31,1.1,,,0.0028,0.036,RESULT: FAILURE (status=6)
open,2,comppi_iid_s003,False,False,9.88,7.369,0.23,1.1,,,0.0021,0.026,RESULT: FAILURE (status=6)
open,2,comppi_iid_s005,False,False,9.88,7.341,0.26,1.1,,,0.0023,0.029,RESULT: FAILURE (status=6)
open,2,comppi_iid_s010,False,False,9.96,7.317,0.28,1.1,,,0.0026,0.032,RESULT: FAILURE (status=6)
open,2,comppi_iid_s020,False,False,9.94,7.302,0.3,1.1,,,0.0026,0.033,RESULT: FAILURE (status=6)
open,2,comppi_iid_s030,False,False,9.96,7.298,0.3,1.1,,,0.0028,0.035,RESULT: FAILURE (status=6)
open,3,comppi_iid_s003,False,False,9.88,7.369,0.23,1.1,,,0.0021,0.026,RESULT: FAILURE (status=6)
open,3,comppi_iid_s005,False,False,9.88,7.342,0.26,1.1,,,0.0023,0.03,RESULT: FAILURE (status=6)
open,3,comppi_iid_s010,False,False,9.96,7.315,0.29,1.1,,,0.0025,0.033,RESULT: FAILURE (status=6)
open,3,comppi_iid_s020,False,False,9.96,7.301,0.3,1.1,,,0.0025,0.034,RESULT: FAILURE (status=6)
open,3,comppi_iid_s030,False,False,9.96,7.298,0.3,1.1,,,0.0027,0.035,RESULT: FAILURE (status=6)
open,4,comppi_iid_s003,False,False,9.88,7.368,0.23,1.1,,,0.0022,0.026,RESULT: FAILURE (status=6)
open,4,comppi_iid_s005,False,False,9.88,7.346,0.25,1.1,,,0.0022,0.029,RESULT: FAILURE (status=6)
open,4,comppi_iid_s010,False,False,9.96,7.315,0.28,1.1,,,0.0025,0.032,RESULT: FAILURE (status=6)
open,4,comppi_iid_s020,False,False,9.96,7.299,0.3,1.1,,,0.0028,0.034,RESULT: FAILURE (status=6)
open,4,comppi_iid_s030,False,False,9.96,7.295,0.31,1.1,,,0.0029,0.034,RESULT: FAILURE (status=6)
open,5,comppi_iid_s003,False,False,9.88,7.369,0.23,1.1,,,0.0021,0.026,RESULT: FAILURE (status=6)
open,5,comppi_iid_s005,False,False,9.96,7.342,0.26,1.1,,,0.0022,0.03,RESULT: FAILURE (status=6)
open,5,comppi_iid_s010,False,False,9.96,7.313,0.29,1.1,,,0.0025,0.033,RESULT: FAILURE (status=6)
open,5,comppi_iid_s020,False,False,9.96,7.298,0.3,1.1,,,0.0026,0.035,RESULT: FAILURE (status=6)
open,5,comppi_iid_s030,False,False,9.96,7.297,0.3,1.1,,,0.0027,0.035,RESULT: FAILURE (status=6)
open,6,comppi_iid_s003,False,False,9.88,7.37,0.23,1.1,,,0.0019,0.026,RESULT: FAILURE (status=6)
open,6,comppi_iid_s005,False,False,9.96,7.339,0.26,1.1,,,0.0023,0.029,RESULT: FAILURE (status=6)
open,6,comppi_iid_s010,False,False,9.96,7.314,0.29,1.1,,,0.0025,0.032,RESULT: FAILURE (status=6)
open,6,comppi_iid_s020,False,False,9.96,7.3,0.3,1.1,,,0.0026,0.034,RESULT: FAILURE (status=6)
open,6,comppi_iid_s030,False,False,9.96,7.291,0.31,1.1,,,0.0029,0.035,RESULT: FAILURE (status=6)
open,7,comppi_iid_s003,False,False,9.88,7.369,0.23,1.1,,,0.002,0.026,RESULT: FAILURE (status=6)
open,7,comppi_iid_s005,False,False,9.96,7.342,0.26,1.1,,,0.0023,0.029,RESULT: FAILURE (status=6)
open,7,comppi_iid_s010,False,False,9.98,7.316,0.28,1.1,,,0.0025,0.033,RESULT: FAILURE (status=6)
open,7,comppi_iid_s020,False,False,9.98,7.305,0.3,1.1,,,0.0027,0.033,RESULT: FAILURE (status=6)
open,7,comppi_iid_s030,False,False,9.96,7.296,0.3,1.1,,,0.003,0.035,RESULT: FAILURE (status=6)
open,8,comppi_iid_s003,False,False,9.96,7.37,0.23,1.1,,,0.0021,0.025,RESULT: FAILURE (status=6)
open,8,comppi_iid_s005,False,False,9.96,7.343,0.26,1.1,,,0.0022,0.03,RESULT: FAILURE (status=6)
open,8,comppi_iid_s010,False,False,9.96,7.319,0.28,1.1,,,0.0029,0.032,RESULT: FAILURE (status=6)
open,8,comppi_iid_s020,False,False,9.96,7.302,0.3,1.1,,,0.0025,0.034,RESULT: FAILURE (status=6)
open,8,comppi_iid_s030,False,False,9.96,7.298,0.3,1.1,,,0.0028,0.034,RESULT: FAILURE (status=6)
open,9,comppi_iid_s003,False,False,9.96,7.37,0.23,1.1,,,0.0021,0.026,RESULT: FAILURE (status=6)
