world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
blocked_sym,0,comppi,True,False,21.18,0.241,7.56,0.255,0.0091,0.4,RESULT: SUCCESS (status=4)
blocked_sym,0,comppi_noanneal,False,False,19.76,4.266,3.34,0.35,0.0065,0.394,RESULT: FAILURE (status=6)
blocked_sym,1,comppi,True,False,21.06,0.243,7.56,0.255,0.0098,0.4,RESULT: SUCCESS (status=4)
blocked_sym,1,comppi_noanneal,False,False,16.56,5.118,2.5,0.35,0.0068,0.393,RESULT: FAILURE (status=6)
blocked_sym,2,comppi,True,False,21.06,0.245,7.54,0.255,0.0104,0.4,RESULT: SUCCESS (status=4)
blocked_sym,2,comppi_noanneal,False,False,20.66,3.618,3.99,0.35,0.0069,0.395,RESULT: FAILURE (status=6)
blocked_sym,3,comppi,True,False,21.16,0.244,7.58,0.255,0.0098,0.4,RESULT: SUCCESS (status=4)
blocked_sym,3,comppi_noanneal,False,False,16.96,5.257,2.36,0.35,0.0071,0.395,RESULT: FAILURE (status=6)
blocked_sym,4,comppi,True,False,21.36,0.249,7.57,0.269,0.0094,0.4,RESULT: SUCCESS (status=4)
blocked_sym,4,comppi_noanneal,False,False,17.86,4.57,3.04,0.35,0.0068,0.395,RESULT: FAILURE (status=6)
blocked_sym,5,comppi,True,False,20.96,0.238,7.56,0.25,0.0108,0.4,RESULT: SUCCESS (status=4)
blocked_sym,5,comppi_noanneal,True,False,37.26,0.243,7.79,0.25,0.0086,0.396,RESULT: SUCCESS (status=4)
blocked_sym,6,comppi,True,False,20.86,0.249,7.53,0.255,0.0099,0.4,RESULT: SUCCESS (status=4)
blocked_sym,6,comppi_noanneal,False,False,26.98,3.481,4.21,0.3,0.0084,0.395,RESULT: FAILURE (status=6)
blocked_sym,7,comppi,True,False,21.36,0.249,7.57,0.25,0.0096,0.4,RESULT: SUCCESS (status=4)
blocked_sym,7,comppi_noanneal,False,False,15.26,5.566,2.04,0.35,0.0072,0.392,RESULT: FAILURE (status=6)
blocked_sym,8,comppi,True,False,21.26,0.249,7.55,0.25,0.008,0.4,RESULT: SUCCESS (status=4)
blocked_sym,8,comppi_noanneal,False,False,21.96,3.208,4.42,0.35,0.0067,0.395,RESULT: FAILURE (status=6)
blocked_sym,9,comppi,True,False,21.56,0.249,7.57,0.255,0.0083,0.4,RESULT: SUCCESS (status=4)
blocked_sym,9,comppi_noanneal,False,False,17.96,5.4,2.24,0.3,0.0069,0.394,RESULT: FAILURE (status=6)
blocked_sym,10,comppi,True,False,21.76,0.243,7.58,0.269,0.0082,0.4,RESULT: SUCCESS (status=4)
blocked_sym,10,comppi_noanneal,False,False,17.96,4.714,2.89,0.35,0.007,0.394,RESULT: FAILURE (status=6)
blocked_sym,11,comppi,True,False,21.66,0.249,7.58,0.25,0.0088,0.4,RESULT: SUCCESS (status=4)
blocked_sym,11,comppi_noanneal,False,False,17.86,4.564,3.05,0.35,0.0067,0.394,RESULT: FAILURE (status=6)
blocked_sym,12,comppi,True,False,21.06,0.245,7.54,0.255,0.0106,0.4,RESULT: SUCCESS (status=4)
blocked_sym,12,comppi_noanneal,False,False,25.96,2.939,4.68,0.3,0.0061,0.395,RESULT: FAILURE (status=6)
blocked_sym,13,comppi,True,False,21.48,0.243,7.57,0.255,0.0086,0.4,RESULT: SUCCESS (status=4)
blocked_sym,13,comppi_noanneal,False,False,19.36,4.162,3.46,0.35,0.0067,0.394,RESULT: FAILURE (status=6)
blocked_sym,14,comppi,True,False,21.26,0.24,7.56,0.292,0.0088,0.4,RESULT: SUCCESS (status=4)
blocked_sym,14,comppi_noanneal,False,False,16.96,5.352,2.27,0.35,0.0071,0.394,RESULT: FAILURE (status=6)
blocked_sym,15,comppi,True,False,21.46,0.246,7.58,0.25,0.0101,0.4,RESULT: SUCCESS (status=4)
blocked_sym,15,comppi_noanneal,False,False,21.66,3.899,3.8,0.3,0.0112,0.395,RESULT: FAILURE (status=6)
blocked_sym,16,comppi,True,False,21.16,0.248,7.56,0.269,0.0101,0.4,RESULT: SUCCESS (status=4)
blocked_sym,16,comppi_noanneal,False,False,17.06,5.316,2.29,0.35,0.0066,0.396,RESULT: FAILURE (status=6)
blocked_sym,17,comppi,True,False,21.46,0.245,7.56,0.255,0.008,0.4,RESULT: SUCCESS (status=4)
