t,x,y,yaw,v,w,t_abs
0.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.585
0.043,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.605
0.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.625
0.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.645
0.102,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.665
0.122,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.685
0.143,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.705
0.163,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.725
0.183,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.745
0.202,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.765
0.222,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.785
0.242,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.805
0.263,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.825
0.283,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.845
0.302,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.865
0.322,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.885
0.342,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.905
0.362,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.925
0.383,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.945
0.403,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.965
0.423,1.2000,5.0000,0.0000,0.0000,0.0000,1788824843.985
0.442,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.005
0.463,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.025
0.483,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.045
0.503,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.065
0.522,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.085
0.543,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.105
0.562,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.125
0.583,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.145
0.603,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.165
0.622,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.185
0.642,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.205
0.663,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.225
0.683,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.245
0.702,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.265
0.722,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.285
0.742,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.305
0.763,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.325
0.783,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.345
0.802,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.365
0.822,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.385
0.842,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.405
0.862,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.425
0.883,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.445
0.903,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.465
0.922,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.485
0.942,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.505
0.962,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.525
0.983,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.545
1.002,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.565
1.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.585
1.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.605
1.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.625
1.083,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.645
1.103,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.665
1.122,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.685
1.143,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.705
1.162,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.725
1.183,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.745
1.203,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.765
1.222,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.785
1.242,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.805
1.262,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.825
1.283,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.845
1.303,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.865
1.323,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.885
1.342,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.905
1.362,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.925
1.382,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.945
1.402,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.965
1.422,1.2000,5.0000,0.0000,0.0000,0.0000,1788824844.985
1.443,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.005
1.463,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.025
1.482,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.045
1.503,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.065
1.522,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.085
1.543,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.105
1.563,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.125
1.582,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.145
1.602,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.165
1.623,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.185
1.643,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.205
1.663,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.225
1.683,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.245
1.703,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.265
1.723,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.285
1.743,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.305
1.763,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.325
1.783,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.345
1.802,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.365
1.822,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.385
1.843,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.405
1.863,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.425
1.883,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.445
1.902,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.465
1.922,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.485
1.943,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.505
1.963,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.525
1.983,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.545
2.003,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.565
2.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.585
2.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.605
2.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.625
2.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.645
2.102,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.665
2.123,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.685
2.142,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.705
2.163,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.725
2.183,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.745
2.203,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.765
2.223,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.785
2.242,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.805
2.262,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.825
2.283,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.845
2.303,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.865
2.323,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.885
2.343,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.905
2.363,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.925
2.382,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.945
2.402,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.965
2.422,1.2000,5.0000,0.0000,0.0000,0.0000,1788824845.985
2.443,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.005
2.463,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.025
2.483,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.045
2.503,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.065
2.522,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.085
2.543,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.105
2.563,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.125
2.583,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.145
2.602,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.165
2.622,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.185
2.643,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.205
2.663,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.225
2.683,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.245
2.702,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.265
2.722,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.285
2.742,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.305
2.763,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.325
2.782,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.345
2.803,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.365
2.822,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.385
2.843,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.405
2.862,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.425
2.882,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.445
2.903,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.465
2.922,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.485
2.943,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.505
2.963,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.525
2.983,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.545
3.003,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.565
3.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.585
3.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.605
3.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.625
3.083,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.645
3.103,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.665
3.122,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.685
3.143,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.705
3.163,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.725
3.182,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.745
3.203,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.765
3.222,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.785
3.243,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.805
3.263,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.825
3.283,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.845
3.303,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.865
3.322,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.885
3.343,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.905
3.363,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.925
3.382,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.945
3.402,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.965
3.422,1.2000,5.0000,0.0000,0.0000,0.0000,1788824846.985
3.443,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.005
3.463,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.025
3.483,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.045
3.503,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.065
3.523,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.085
3.543,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.105
3.563,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.125
3.583,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.145
3.603,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.165
3.623,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.185
3.643,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.205
3.663,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.225
3.682,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.245
3.703,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.265
3.722,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.285
3.742,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.305
3.763,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.325
3.783,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.345
3.803,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.365
3.823,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.385
3.843,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.405
3.863,1.2000,5.0000,0.0000,0.0000,0.0000,1788824847.425
