t,x,y,yaw,v,w,t_abs
0.022,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.158
0.042,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.178
0.062,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.198
0.082,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.218
0.102,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.238
0.123,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.259
0.142,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.278
0.163,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.299
0.183,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.319
0.203,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.339
0.222,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.358
0.243,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.379
0.263,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.398
0.283,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.418
0.302,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.438
0.322,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.458
0.343,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.479
0.363,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.499
0.383,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.519
0.402,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.538
0.423,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.559
0.443,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.579
0.463,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.599
0.483,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.618
0.503,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.638
0.523,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.659
0.542,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.678
0.563,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.699
0.582,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.718
0.603,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.739
0.623,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.759
0.643,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.779
0.663,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.799
0.683,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.819
0.703,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.839
0.723,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.859
0.743,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.879
0.763,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.899
0.782,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.918
0.803,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.939
0.822,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.958
0.843,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.978
0.863,1.2000,5.0000,0.0000,0.0000,0.0000,1788824793.999
0.882,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.018
0.903,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.039
0.922,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.058
0.943,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.079
0.963,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.099
0.983,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.119
1.002,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.138
1.023,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.159
1.043,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.179
1.063,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.199
1.083,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.219
1.103,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.239
1.122,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.258
1.142,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.278
1.162,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.298
1.182,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.318
1.202,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.338
1.223,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.359
1.243,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.379
1.263,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.399
1.282,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.418
1.303,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.439
1.323,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.459
1.343,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.479
1.363,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.499
1.383,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.518
1.403,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.539
1.423,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.558
1.442,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.578
1.463,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.599
1.483,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.619
1.502,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.638
1.522,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.658
1.542,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.678
1.563,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.699
1.583,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.719
1.602,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.738
1.623,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.759
1.643,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.779
1.663,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.799
1.683,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.819
1.703,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.839
1.722,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.858
1.743,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.879
1.763,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.899
1.783,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.919
1.802,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.938
1.823,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.959
1.843,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.979
1.863,1.2000,5.0000,0.0000,0.0000,0.0000,1788824794.999
1.883,1.2000,5.0000,0.0000,0.0000,0.0000,1788824795.019
1.903,1.2000,5.0000,0.0000,0.0000,0.0000,1788824795.039
1.923,1.2000,5.0000,0.0000,0.0000,0.0000,1788824795.059
1.942,1.2000,5.0000,0.0000,0.0000,0.0000,1788824795.078
1.963,1.2000,5.0000,0.0000,0.0000,0.0000,1788824795.099
1.983,1.2000,5.0000,0.0000,0.0000,0.0000,1788824795.119
2.003,1.2000,5.0000,0.0000,0.0000,0.0000,1788824795.139
